source_id,title,author,edition,source_type,drive_filename,drive_file_id,recommended_drive_folder_id,recommended_drive_folder_path,completeness,duplicate_group,full_text_fetch_verified,source_card_path,lifecycle_status,last_verified,notes
SRC-LJS-SC-INIT,The Initiation,L. J. Smith,,youth_supernatural_reference_epub,The_Initiation_-_Smith_L_J.epub,1mtCdSFkIh7QygYAZ2AQZSNMl15h51eXp,1hspzAMc3kJsPQEKAy_k6ZqF-fWux-42b,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/01_YOUTH_MEDIA_REFERENCE/01_LJ_SMITH_SECRET_CIRCLE,LIKELY_FULL,SECRET_CIRCLE_OVERLAP_GROUP,YES,references/IVDIVO_REFERENCE_STUDY_PASS_10_YOUTH_VOICE_WORK_MYSTERY_2026-08-17.md,MECHANISMS_EXTRACTED,2026-08-17,
SRC-LJS-SC-HUNT,The Hunt,L. J. Smith,,youth_supernatural_reference_epub,The_Hunt_-_Smith_L_J.epub,1mYD5pBTl2WaFmoj-yZVp6Kn3r-Z3n074,1hspzAMc3kJsPQEKAy_k6ZqF-fWux-42b,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/01_YOUTH_MEDIA_REFERENCE/01_LJ_SMITH_SECRET_CIRCLE,RAW_FILE_AVAILABLE,,NOT_YET_TESTED,,ROUTED,2026-08-17,Verified exact Drive filename correction
SRC-LJS-SC-TEMP,The Temptation,L. J. Smith,,youth_supernatural_reference_epub,The_Temptation_-_Smith_L_J.epub,1SJgUgIVXwjy3GYvXcnqNhe8n0Gucy76K,1hspzAMc3kJsPQEKAy_k6ZqF-fWux-42b,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/01_YOUTH_MEDIA_REFERENCE/01_LJ_SMITH_SECRET_CIRCLE,RAW_FILE_AVAILABLE,,NOT_YET_TESTED,,ROUTED,2026-08-17,Verified exact Drive filename correction
SRC-MSCL-CC,My So-Called Life,Catherine Clark,,adapted_tv_novelization_collection_pdf,_OceanofPDF.com_My_So-Called_Life_-_Catherine_Clark.pdf,11HBC8zUGhbmGX1PAzNy2KrQB3PK63S9j,1vWxQxvGJppkyFfij2RaG5fzuvkewCctQ,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/01_YOUTH_MEDIA_REFERENCE/02_MY_SO_CALLED_LIFE_TV_REFERENCE,COLLECTION_ADAPTED_NOVELIZATION_PLUS_SCRAPBOOK,MSCL_CC_DUP_GROUP,YES,references/IVDIVO_REFERENCE_STUDY_PASS_10_YOUTH_VOICE_WORK_MYSTERY_2026-08-17.md,STUDIED_ADAPTED_REFERENCE,2026-08-17,Not original TV prose authority
SRC-MSCL-CC-DUP,My So-Called Life,Catherine Clark,,duplicate_pdf,_OceanofPDF.com_My_So-Called_Life_-_Catherine_Clark (1).pdf,1P0QN8CtPFAbZzZ6tLsnz3EKeDyJmtYxj,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,BYTE_MATCH_DUPLICATE,MSCL_CC_DUP_GROUP,NOT_NEEDED,references/IVDIVO_REFERENCE_STUDY_PASS_10_YOUTH_VOICE_WORK_MYSTERY_2026-08-17.md,DUPLICATE_ARCHIVED,2026-08-17,7862930 bytes
SRC-MSCL-CC-DUP2,My So-Called Life,Catherine Clark,,duplicate_pdf,_OceanofPDF.com_My_So-Called_Life_-_Catherine_Clark (1).pdf,1hyG8RR5I9TPymqn8yk6NUzjV9AwL7PWo,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,BYTE_MATCH_DUPLICATE,MSCL_CC_DUP_GROUP,NOT_NEEDED,references/IVDIVO_REFERENCE_STUDY_PASS_10_YOUTH_VOICE_WORK_MYSTERY_2026-08-17.md,DUPLICATE_ARCHIVED,2026-08-17,7862930 bytes
SRC-MSCL-CC-DUP3,My So-Called Life,Catherine Clark,,duplicate_pdf,_OceanofPDF.com_My_So-Called_Life_-_Catherine_Clark.pdf,1OkclEJdNCpbxI74Mr9d0xJryJQz8cHxM,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,BYTE_MATCH_DUPLICATE,MSCL_CC_DUP_GROUP,NOT_NEEDED,references/IVDIVO_REFERENCE_STUDY_PASS_10_YOUTH_VOICE_WORK_MYSTERY_2026-08-17.md,DUPLICATE_ARCHIVED,2026-08-17,Moved from tie-in shelf to duplicate archive; 7862930 bytes
SRC-CHARMED-ER,Charmed,Erica Ridley,Book 1,fantasy_romance_reference_epub,_OceanofPDF.com_Charmed_-_Erica_Ridley.epub,1bwfG-v9nKtw5clPruG-5ZBbVid8fKWEJ,1yLVrSHo35HXxmmm8qhEygcb99dPZwn9x,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/15_ROMANCE_RELATIONSHIP_REFERENCE,LIKELY_FULL,,YES,references/IVDIVO_REFERENCE_STUDY_PASS_10_YOUTH_VOICE_WORK_MYSTERY_2026-08-17.md,ROUTED_RECLASSIFIED_NOT_TV,2026-08-17,Not connected to Charmed TV; Drive move completed
SRC-VM-TDTL,The Thousand-Dollar Tan Line,Rob Thomas and Jennifer Graham,,youth_mystery_reference_epub,_OceanofPDF.com_The_Thousand-Dollar_Tan_Line_Veronica_Mars_1_-_Rob_Thomas.epub,102DsZruAp4-insl_YjGkuxfdATdGgub-,1tzQxiwjGe5UImx0t3sc61dOvebVsufkF,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/01_YOUTH_MEDIA_REFERENCE/06_VERONICA_MARS,LIKELY_FULL,VERONICA_MARS_GROUP,YES,references/IVDIVO_REFERENCE_STUDY_PASS_10_YOUTH_VOICE_WORK_MYSTERY_2026-08-17.md,MECHANISMS_EXTRACTED,2026-08-17,
SRC-RT-SATDOWN,Satellite Down,Rob Thomas,,youth_reference_epub,_OceanofPDF.com_Satellite_Down_-_Rob_Thomas.epub,12P1lEZcRYHfgpeujE07LTZ-6Sk5XUS-k,1yKwvIPMlRQiBT8PUWoG6W9iTWVJVElfy,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/01_YOUTH_MEDIA_REFERENCE/07_ROB_THOMAS_YA,LIKELY_FULL,,YES,references/IVDIVO_REFERENCE_STUDY_PASS_10_YOUTH_VOICE_WORK_MYSTERY_2026-08-17.md,MECHANISMS_EXTRACTED,2026-08-17,
SRC-RT-RSG,Rats Saw God,Rob Thomas,,youth_reference_epub,_OceanofPDF.com_Rats_Saw_God_-_Rob_Thomas.epub,1rmlYmaVnF-0oWB7bQKDoffo4NFXiTzVu,1yKwvIPMlRQiBT8PUWoG6W9iTWVJVElfy,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/01_YOUTH_MEDIA_REFERENCE/07_ROB_THOMAS_YA,LIKELY_FULL,RT_RSG_DUP_GROUP,YES,references/IVDIVO_REFERENCE_STUDY_PASS_10_YOUTH_VOICE_WORK_MYSTERY_2026-08-17.md,MECHANISMS_EXTRACTED,2026-08-17,
