ID,колода,название,мир/орбиталь,тип существа,что предлагает,что требует,риск,как получить помощь,как потерять,связанная колода,тестовая заметка
ALLY-011,Союзники,Секретарь Аттестационного Совета,Метагалактический мир,администратор допуска,даёт временный допуск или снимает ложный допуск,документировать действие,бюрократическая задержка,пройти проверку роли,подделать полномочие,Экополис; Законы мира,допуск без хаоса
ALLY-012,Союзники,Мастер Имени,Метагалактический мир,наставник имён,даёт зоне Имя-функцию,1 Закон и ясная цель,неверное Имя закрывает действие,связать Имя с миссией,переименовывать ради бонуса,Формы; Законы мира,механика именования
ALLY-013,Союзники,Арканист-переводчик,Метагалактический мир,переводчик символов,делает Аркановое испытание понятным,Память о прошлом выборе,символ усилит невыбранный путь,"принять и дар, и цену",выбрать только дар,Орбитали; События,связь с Арканами
ALLY-014,Союзники,Согласователь договора,Метагалактический мир,юридический союзник,закрепляет договор фракций,две стороны дают Связь,нарушение больнее обычного,выполнить малое обещание,нарушить запись договора,Кампания; Посредники,сюжетная политика
ALLY-015,Союзники,Палатный навигатор 64 клеток,Метагалактический мир,стратегический навигатор,планирует будущий узел на 64-диске,1 Память и ожидание,эффект не срабатывает сразу,объявить будущую цель,изменить цель без цены,Орбитали; Порталы,планирование
ALLY-016,Союзники,Охладитель Накала,Огненный мир,мастер охлаждения,снижает Накал после Огненного действия,дать Огонь или Пищу,при перегреве получает Шрам,охладить перед третьим Накалом,игнорировать предупреждение,Законы мира; Формы,контроль огня
ALLY-017,Союзники,Кузнец добровольной жертвы,Огненный мир,кузнец перехода,создаёт эффект жертвы без принуждения,игрок добровольно выбирает цену,навязанная цена становится долгом,объявить цель жертвы,переложить цену на другого,Кооперация; Кампания,этическая защита
ALLY-018,Союзники,Пепельная сестра памяти,Огненный мир,хранительница пепла,превращает Пепел в подсказку или ресурс,признать разрушение,игнорированный пепел становится угрозой,записать потерю в Архив,стереть след ради темпа,Кампания; Формы,память потерь
ALLY-019,Союзники,Проводник пламенной двери,Огненный мир,аварийный проводник,проводит одного игрока через невозможное,один откат и 1 Огонь,выброс в опасную дугу,дать Якорь Порога,ввести второго без стабилизации,Порталы; Вихри,драматический выход
ALLY-020,Союзники,Защитник огненного кокона,Огненный мир,защитный союзник,укрывает повреждённого союзника или персонажа,пауза действия на 1 раунд,цель теряет темп,принять восстановление вместо атаки,действовать из кокона,Формы; События,защита без неуязвимости
ALLY-021,Союзники,Собиратель системы,Синтезный мир,системный союзник,"соединяет карту, Форму и здание в один эффект",1 Синтез и согласие команды,ошибка повреждает все связанные элементы,доказать связь трёх элементов,соединить ради стека бонусов,Экополис; Формы,синтезный engine
ALLY-022,Союзники,Интегратор Миракла,Синтезный мир,интегратор чуда,закрепляет разовое чудо как устойчивый результат,миссия интеграции,без интеграции откат,выполнить малое действие закрепления,требовать постоянный бонус сразу,Кампания; Законы мира,чудо с пост-ценой
ALLY-023,Союзники,Проводник единого действия,Синтезный мир,командный проводник,объединяет 3+ игроков в один синтезный эффект,все участники платят малую цену,общий провал бьёт по команде,подготовить роли заранее,втянуть неподготовленного игрока,Кооперация; Финал,финальная команда
