n_players,turns,winner_character,winner_strategy,leader_won,score_spread,top_score,portals_opened_total
2,36,Кладоискатель,greedy,0,0.5,5,6
2,27,Кладоискатель,engine_builder,1,5.0,10,6
2,24,Хранитель Пути,engine_builder,1,3.0,6,6
2,27,Наблюдатель,risk_taker,1,2.0,6,6
2,37,Наблюдатель,random,0,3.0,11,6
2,24,Проводник,greedy,1,4.0,11,6
2,16,Кладоискатель,engine_builder,0,0.5,4,6
2,22,Друид,engine_builder,0,2.0,12,6
2,26,Друид,risk_taker,1,0.5,2,6
2,21,Хранитель Пути,engine_builder,1,2.5,7,6
2,15,Наблюдатель,risk_taker,1,0.5,3,6
2,17,Проводник,random,1,3.5,11,6
2,13,Кладоискатель,engine_builder,1,0.5,2,6
2,23,Друид,engine_builder,0,1.0,8,6
2,16,Хранитель Пути,risk_taker,0,0.0,3,6
2,20,Наблюдатель,engine_builder,1,1.5,4,6
2,29,Наблюдатель,random,1,0.5,7,6
2,24,Проводник,risk_taker,0,0.5,5,6
2,18,Проводник,greedy,0,1.0,6,6
2,22,Друид,engine_builder,1,3.5,9,6
2,34,Хранитель Пути,greedy,0,3.0,9,6
2,19,Хранитель Пути,engine_builder,1,0.0,6,6
2,18,Наблюдатель,engine_builder,1,0.0,3,6
2,18,Летописец,engine_builder,1,1.0,7,6
2,15,Проводник,engine_builder,1,3.5,8,6
2,33,Кладоискатель,random,1,1.0,4,6
2,40,Хранитель Пути,random,0,4.0,11,6
2,26,Наблюдатель,risk_taker,0,1.0,3,6
2,21,Наблюдатель,engine_builder,1,2.0,6,6
2,46,Проводник,random,0,0.5,3,6
2,12,Кладоискатель,engine_builder,1,2.0,6,6
2,22,Кладоискатель,engine_builder,1,3.0,6,6
2,17,Хранитель Пути,greedy,0,1.0,5,6
2,18,Наблюдатель,engine_builder,0,1.5,5,6
2,30,Летописец,greedy,0,1.5,6,6
2,15,Проводник,engine_builder,1,1.5,4,6
2,17,Проводник,risk_taker,0,0.5,2,6
2,19,Кладоискатель,risk_taker,0,1.5,8,6
2,22,Хранитель Пути,engine_builder,1,3.5,7,6
2,30,Хранитель Пути,random,1,2.5,8,6
2,23,Наблюдатель,random,1,1.0,9,6
2,18,Проводник,random,0,1.5,6,6
2,18,Кладоискатель,risk_taker,1,0.0,2,6
2,19,Кладоискатель,risk_taker,1,2.5,9,6
2,22,Хранитель Пути,greedy,0,1.0,6,6
2,21,Хранитель Пути,greedy,1,1.5,5,6
2,39,Летописец,risk_taker,0,1.0,6,6
2,30,Проводник,random,0,3.0,7,6
2,31,Проводник,greedy,1,5.0,13,6
2,400,Кладоискатель,engine_builder,1,4.5,9,5
2,30,Друид,engine_builder,1,0.5,5,6
2,20,Наблюдатель,engine_builder,1,1.0,5,6
2,18,Летописец,greedy,1,0.5,2,6
2,20,Летописец,engine_builder,1,1.0,7,6
2,15,Проводник,engine_builder,1,4.0,8,6
2,25,Кладоискатель,greedy,1,2.5,5,6
2,19,Хранитель Пути,engine_builder,0,0.0,2,6
2,29,Наблюдатель,risk_taker,0,2.0,6,6
2,18,Летописец,engine_builder,0,0.5,3,6
2,16,Летописец,engine_builder,1,2.0,6,6
2,17,Проводник,risk_taker,1,0.0,8,6
2,14,Друид,engine_builder,1,2.5,7,6
2,22,Хранитель Пути,risk_taker,0,3.5,8,6
2,20,Наблюдатель,engine_builder,1,1.5,4,6
2,17,Летописец,risk_taker,1,2.0,6,6
2,20,Проводник,risk_taker,1,2.5,7,6
2,18,Кладоискатель,engine_builder,1,2.5,7,6
2,19,Кладоискатель,engine_builder,1,1.5,8,6
2,49,Хранитель Пути,risk_taker,0,1.5,5,6
2,21,Наблюдатель,engine_builder,0,3.5,8,6
2,18,Летописец,engine_builder,0,1.5,4,6
2,22,Летописец,random,1,0.5,3,6
2,15,Проводник,engine_builder,1,4.5,9,6
2,20,Друид,engine_builder,1,0.0,1,6
2,21,Хранитель Пути,engine_builder,0,1.5,4,6
