source_id,title,author,drive_filename,drive_file_id,drive_folder_id,drive_folder_path,status,duplicate_note,last_verified
B02-STROSS-DARKSTATE,Dark State,Charles Stross,Dark_State_-_Stross_Charles.epub,171iB-2UTuXZ8Lg5YwFOwy8WTOiHs_JMt,1cK3XogG5oCDEO1zGpNLU9iXjfOKNhzYN,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/09_CHARLES_STROSS_REFERENCE,ROUTED,,2026-08-16
B02-STROSS-INVISIBLESUN,Invisible Sun,Charles Stross,Invisible_Sun_-_Charles_Stross.epub,1xl6Sh8eO-PitDMfU_OC_uXkUjlsLQE7w,1cK3XogG5oCDEO1zGpNLU9iXjfOKNhzYN,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/09_CHARLES_STROSS_REFERENCE,ROUTED,,2026-08-16
B02-STROSS-EMPIREGAMES,Empire Games,Charles Stross,Empire_Games_-_Charles_Stross.epub,1L7wvw4giD6UR55H-Ww8cpoYpU9rpM84u,1cK3XogG5oCDEO1zGpNLU9iXjfOKNhzYN,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/09_CHARLES_STROSS_REFERENCE,ROUTED,,2026-08-16
B02-STROSS-FAMILY-EPUB,The Family Trade,Charles Stross,Stross_Charles_-_The_Family_Trade.epub,1FLZrwbm_MH2qNyzLqCyPBWNdMve_735I,1cK3XogG5oCDEO1zGpNLU9iXjfOKNhzYN,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/09_CHARLES_STROSS_REFERENCE,ROUTED,EPUB_VERSION,2026-08-16
B02-STROSS-FAMILY-DOC,The Family Trade,Charles Stross,Stross_Charles_-_The_Family_Trade.doc,1a15pYPrhqp0yCZrKhzpAqtPNN7CyOYDR,1cK3XogG5oCDEO1zGpNLU9iXjfOKNhzYN,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/09_CHARLES_STROSS_REFERENCE,ALTERNATE_FORMAT,DOC_VERSION_COMPARE_LATER,2026-08-16
B02-RR-RED1-A,Red Rising,Pierce Brown,red-rising-pierce-brown-brown-pierce-red-rising-1.epub,1nN2MuNrjLtpVgVEI3MBvslnQUHn2scxi,1irERtNWCcdYnjca9mfe44cvEPupzcJiI,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/10_PIERCE_BROWN_RED_RISING,ROUTED,ALT_EDITION_A,2026-08-16
B02-RR-RED1-B,Red Rising,Pierce Brown,Red_Rising_Red_Rising_Saga_1_-_Pierce_Brown.epub,1dBbv6oCg2kx8IFTsDZXD-On2_23cURBS,1irERtNWCcdYnjca9mfe44cvEPupzcJiI,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/10_PIERCE_BROWN_RED_RISING,ROUTED,ALT_EDITION_B,2026-08-16
B02-RR-DARKAGE-A,Dark Age,Pierce Brown,dark-age-brown-pierce-brown-pierce-red-rising-6.epub,1qZXH7EMn5C7pvFdg1beyW9BW98vauuId,1irERtNWCcdYnjca9mfe44cvEPupzcJiI,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/10_PIERCE_BROWN_RED_RISING,ROUTED,ALT_EDITION_A,2026-08-16
B02-RR-DARKAGE-B,Dark Age,Pierce Brown,Dark_Age_Red_Rising_Saga_5_-_Pierce_Brown.epub,1So8xbpRvRSRdj21G3Vk4y6ryI_BPIoi0,1irERtNWCcdYnjca9mfe44cvEPupzcJiI,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/10_PIERCE_BROWN_RED_RISING,ROUTED,ALT_EDITION_B,2026-08-16
B02-RR-LIGHT-A,Light Bringer,Pierce Brown,Light_Bringer_Pierce_Brown.epub,1JAmgeUb-EQAIhN-0G-KuyQ9T2bh6YvUT,1irERtNWCcdYnjca9mfe44cvEPupzcJiI,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/10_PIERCE_BROWN_RED_RISING,ROUTED,ALT_EDITION_A,2026-08-16
B02-RR-LIGHT-B,Light Bringer,Pierce Brown,Light_Bringer_A_Red_Rising_Nov_-_Pierce_Brown.epub,1gV00eTc_aTGoC6jbefC9SYFKxY3M5Q-4,1irERtNWCcdYnjca9mfe44cvEPupzcJiI,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/10_PIERCE_BROWN_RED_RISING,ROUTED,ALT_EDITION_B,2026-08-16
