ID,колода,название,мир/орбиталь,тип существа,что предлагает,что требует,риск,как получить помощь,как потерять,связанная колода,тестовая заметка
INH-001,Жители миров,Каменщик живой дороги,Физический мир,строитель маршрутов,построить безопасный переход или укрепить клетку,1 Материя или помощь в ремонте Экополиса,путь становится заметным для угроз,отремонтировать зону или дать ему Инструмент,оставить Шрам дороги без записи,Формы; Инструменты,инфраструктура вместо атаки
INH-002,Жители миров,Сторож разрушенного рынка,Физический мир,торговец-охранитель,обменять 2 ресурса на нужный или раскрыть цену события,не грабить склад и заплатить честно,нижний долг дорожает на следующий обмен,заплатить честную цену или восстановить прилавок,взять ресурс силой,Экополис; Развитие,торговля с моральной ценой
INH-003,Жители миров,Проводник старой трубы,Физический мир,ремонтник подземных ходов,обойти закрытую клетку через сервисный ход,1 Инструмент или снятая Усталость ремонтнику,выводит в загрязнённую зону при спешке,помочь закрыть Нижний Разлом,ускорить его без оплаты,Порталы; События,альтернатива бою через маршрут
INH-004,Жители миров,Собиратель пепельного металла,Физический мир,ресурсный сборщик,дать Материю после разрушения Формы,разрешить забрать Пепел с карты,"добавляет Шрам, если берут без очистки",принять последствие и записать след,"сделать вид, что разрушения не было",Законы мира; Формы,потеря становится ресурсом
INH-005,Жители миров,Лекарь усталых тел,Физический мир,целитель тела,снять Усталость или превратить Пищу в Импульс,принести Пищу или защитить зону отдыха,лечение требует времени,закрыть Закон Пищи и Усталости,использовать лечение перед боем без отдыха,Законы мира; Экополис,контроль усталости
INH-006,Жители миров,Хранитель границы Экополиса,Физический мир,охранитель территории,"ослабить первое событие, входящее в Экополис",доказать право на территорию,закрывает ворота и игрокам при провале,построить или отремонтировать здание,принести в город нижний долг,Экополис; События,защита без неуязвимости
INH-007,Жители миров,Ткач Эха,Тонкий мир,сущность связи,связать две зоны Нитью помощи,1 Связь или признание прошлой ошибки,эхо переносит Искажение между зонами,раскрыть скрытую причину события,использовать нить для личной выгоды,Формы; Законы мира,связь с ценой
INH-008,Жители миров,Сторожевая Маска,Тонкий мир,образ-страж,замаскировать игрока от угрозы или раскрыть ложный образ,отдать 1 Память о себе,игрок может потерять ясность роли,назвать свою настоящую цель,сыграть чужую роль без цены,Персонажи; События,маска как выбор личности
INH-009,Жители миров,Певец Сна,Тонкий мир,сонный проводник,провести через сон бесплатно,1 Ясность для выхода,сон закрывается и задерживает игрока,войти осознанно и записать образ,игнорировать предупреждение сна,Порталы; Посредники,сон как маршрут и информация
INH-010,Жители миров,Собиратель забытых желаний,Тонкий мир,торговец желаниями,превратить Желание в Импульс или подсказку,отказаться от сильного эффекта без миссии,2 Желания дают Искажение,очистить желание в Доме Этики,накопить желание ради комбо,Законы мира; Экополис,анти-жадность
INH-011,Жители миров,Зеркальный архивариус,Тонкий мир,хранитель отражений,показать две версии будущего события,сохранить один след в Архиве,вторая версия остаётся угрозой,выбрать правду и принять цену,разбить зеркало после подсказки,События; Кампания,информация оставляет цену
INH-012,Жители миров,Сиаматический связной,Тонкий мир,посланник связи,передать карту или ресурс на расстоянии,сохранить связь между игроками,ошибка повреждает связь или Форму,объединить два слабых действия,спор игроков в зоне связи,Формы; Союзники,кооперативный двигатель
INH-013,Жители миров,Именователь зон,Метагалактический мир,согласователь функций,"дать зоне Имя: вход, защита, раскрытие или восстановление",1 Закон или выполнение миссии зоны,Имя становится запретом при нарушении,согласовать Имя с целью сценария,менять Имя ради выгоды без цены,Законы мира; Формы,правило зоны через Имя
INH-014,Жители миров,Аттестационный вестник,Метагалактический мир,выдающий допуски,дать временное Полномочие к сильной карте,доказать служение команде,Полномочие без служения становится долгом,пройти испытание или помочь другому,использовать допуск для личного скачка,Экополис; Развитие,фильтр power creep
INH-015,Жители миров,Сефирный меритель,Метагалактический мир,меритель меры,снизить чрезмерный эффект до безопасного и дать ресурс,признать ограничение силы,команда может потерять темп,добровольно уменьшить сильный эффект,настаивать на максимуме без цены,Законы мира,контроль больших эффектов
INH-016,Жители миров,Координатор Иерархии Равных,Метагалактический мир,кооперативный координатор,объединить роли в согласованное действие,согласие двух разных ролей,спор блокирует действие,дать каждому роль в решении,назначить единого лидера без согласия,Экополис; Союзники,кооперация вместо альфа-игрока
INH-017,Жители миров,Аркановый наблюдатель,Метагалактический мир,наблюдатель арканов,выбрать дар или испытание при совпадении символа,1 Память или принять испытание,игнор превращает символ в долг,прочитать Аркан и оплатить цену,взять только дар,Орбитали; События,связь с 22 Арканами
INH-018,Жители миров,Конфедеративный писарь,Метагалактический мир,записывающий договоры,закрепить договор между игроками или фракциями,оба участника платят по 1 Связи,нарушение договора создаёт Разлом доверия,выполнить малое обязательство,нарушить договор ради выгоды,Кампания; Посредники,фракционная политика
INH-019,Жители миров,Носитель искры Накала,Огненный мир,огненный проводник,удешевить Огненное действие или раскрыть Прожиг,охладить Накал после применения,третий Накал создаёт Разрыв,принять ограниченный огонь и заплатить Огонь,использовать огонь без охлаждения,Законы мира; Формы,огонь как риск преобразования
INH-020,Жители миров,Пепельный свидетель,Огненный мир,свидетель разрушения,превратить разрушение в Пепельный След,не скрывать потерю Формы,след может стать проклятием зоны,похоронить или собрать пепел осознанно,забыть разрушенную Форму,Формы; Кампания,потеря имеет смысл
INH-021,Жители миров,Кузнец переплавки,Огненный мир,ремесленник огня,переплавить повреждённую Форму в новую малую Форму,дать исходную Форму и 1 Огонь,исходная Форма может исчезнуть,принять потерю старой функции,требовать новую Форму без жертвы,Формы,ремонт или новая форма
INH-022,Жители миров,Страж пламенной двери,Огненный мир,страж перехода,открыть аварийный проход через невозможное,"один откат: Усталость, Шрам или долг",может выбросить в опасную дугу,дать Якорь или оплатить Огонь,ввести второго персонажа без стабилизации,Порталы; Вихри,портал не бесплатная телепортация
INH-023,Жители миров,Огненная сиделка кокона,Огненный мир,защитница перерождения,укрыть персонажа или союзника на раунд,цель временно не действует,при пробитии получает откат,согласиться на паузу и восстановление,пытаться действовать из кокона,Формы; Союзники,защита ценой темпа
INH-024,Жители миров,Сборщик жертвенного моста,Огненный мир,строитель жертвы,один игрок платит цену за безопасное действие другого,цена должна быть добровольной,навязанная жертва создаёт долг,явно выбрать кто и зачем платит,переложить цену на слабого игрока,Кооперация; Законы мира,анти-абьюз жертвы
INH-025,Жители миров,Собиратель целостностей,Синтезный мир,сборщик систем,соединить три разрозненные карты в систему,1 Синтез и общий план команды,система хрупка при споре ролей,доказать связь элементов,соединять несвязанные карты ради бонуса,Формы; Развитие,поздний engine-building
INH-026,Жители миров,Проводник сверху вниз,Синтезный мир,проводник нисходящего действия,очистить Искажение ниже или закрепить Форму,открытый Столп и 1 Огонь,перегрузка нижнего мира Шрамом,подготовить нижнюю опору,прожечь путь без опоры,Порталы; Законы мира,синтез не отменяет игру
INH-027,Жители миров,Миракль-интегратор,Синтезный мир,интегратор чуда,закрепить временное чудо как карту Формы,заплатить цену интеграции,без оплаты чудо исчезает с откатом,выполнить малую миссию закрепления,использовать чудо как бесплатный бонус,Формы; Кампания,чудо требует интеграции
INH-028,Жители миров,Архитектор нового закона,Синтезный мир,создатель правил зоны,заменить правило зоны на новое до конца сценария,удалить или переплавить старую Форму,конфликт законов усиливает Разрыв,согласовать старое и новое,накладывать законы без удаления,Законы мира; Экополис,контроль стаков
INH-029,Жители миров,Хранитель единого действия,Синтезный мир,координатор финального действия,объединить 3+ игроков в синтезный эффект,общий откат при провале,провал бьёт по всей команде,подготовить роли и Связь,заставить участвовать неподготовленных,Кооперация; События,финальный командный риск
INH-030,Жители миров,Венценосец сотворённой Формы,Синтезный мир,хранитель постоянства,сделать восстановленную структуру кампанийной,"1 Венец, 1 Жертва, 1 Синтез",постоянный бонус может быть удалён Разрывом,показать что структура восстановлена полностью,закреплять непроверенную Форму,Кампания; Формы,только для кампании
