ID,название,тип модуля,нормальный эффект,повреждённый эффект,стоимость ремонта,способ улучшения,связанная колода,тестовая заметка
BLDG-001,Центральный Зал Собрания,Базовый модуль / общественное объединение,Один раз за раунд команда может обменять 1 ресурс между двумя игроками в любой зоне здания.,Обмен возможен только между игроками в одной зоне.,1 Материя + 1 Связь,Улучшить в Координационный Совет: добавь возможность совместного действия.,SD11 — Синтезатор / Собиратель Ресурсов,"Командная функция: учит игроков делиться ресурсами. Разлом повреждает, если в раунде был конфликт или нижний долг."
BLDG-002,Мастерская Форм,Базовый модуль / производство,Создание малой Формы стоит на 1 ресурс дешевле один раз за раунд.,"Формы можно создавать, но нельзя удешевлять.",1 Материя + 1 Инструмент,Улучшить в Лабораторию Форм: можно ремонтировать Формы.,SD02 — Архитектор Форм / Хранитель Формы,"Даёт смысл строительству. Разлом повреждает через перегрузку, если игроки создали 2+ Формы за раунд."
BLDG-003,Комната Навигации,Базовый модуль / навигация,Перед движением один игрок может посмотреть ближайшую опасную дугу или соседний маршрут.,"Можно смотреть только текущую клетку, не маршрут.",1 Импульс + 1 Ясность,Улучшить в Обсерваторию Орбиталей.,SD01 — Странник Кругов,"Командная безопасность движения. Разлом повреждает, если портал открылся нестабильно."
BLDG-004,Архив Памяти,Базовый модуль / память и кампания,Сохрани 1 след события до следующего сценария или верни 1 простую карту из сброса.,"Можно только посмотреть сброс, но не вернуть карту.",1 Память + 1 Материя,Улучшить в Хранилище Решений.,SD03 — Провидец Орбиталей / Следопыт Теней,Делает кампанию осмысленной. Разлом повреждает через ложную запись или потерю памяти.
BLDG-005,Портальная Ниша,Базовый модуль / портал,Подготовь портал: положи 1 жетон допуска на будущий переход.,"Портал готовится, но требует дополнительный Импульс при использовании.",1 Полномочие + 1 Связь,Улучшить в Портальный Узел.,SD05 — Страж Порога,Нужна как простая база порталов. Разлом повреждает при провале входа в портал.
BLDG-006,Зал Восстановления,Базовый модуль / восстановление,Один персонаж в здании снимает Усталость или получает 1 Импульс в конце раунда.,Снимает Усталость только при оплате 1 Пищи.,1 Пища + 1 Огонь,Улучшить в Центр Восстановления Корней.,SD08 — Ангельский Посланник / Миротворец Связей,Даёт базе ощущение полезности. Разлом повреждает через истощение или холод.
BLDG-007,Склад Материи,Базовый модуль / ресурсы,Храни до 3 Материи между раундами; союзник может взять 1 Материю в свой ход.,Храни только 1 Материю; лишнее теряется.,1 Материя + 1 Инструмент,Улучшить в Ресурсный Контур.,SD11 — Синтезатор / Собиратель Ресурсов,"Ресурсная экономика без сложных эффектов. Разлом повреждает через кражу, пожар или нижний долг."
BLDG-008,Зал Практик,Базовый модуль / обучение и действие,Один раз за раунд игрок может заменить слабый провал на подготовку: получить 1 Импульс вместо эффекта.,"Игрок получает Импульс, но также 1 Усталость.",1 Ясность + 1 Связь,Улучшить в Школу Практик.,SD06 — Носитель Луча / Наставник Практик,"Снижает наказание новичков. Разлом повреждает, если практика применена без цены."
BLDG-009,Координационный Совет,Улучшение / управление,Два игрока в разных зонах могут объединить по 1 слабому действию в одно среднее командное действие.,Командное действие возможно только в одной зоне.,2 Связь + 1 Полномочие,Может перейти в кампанийный модуль Совет Организаций.,SD08 — Ангельский Посланник / Миротворец Связей,Усиливает кооперацию. Разлом повреждает через спор ролей или раскол команды.
BLDG-010,Лаборатория Форм,Улучшение / формы,Один раз за раунд отремонтируй малую или устойчивую Форму на 1 повреждение дешевле.,Ремонт возможен только за полную стоимость.,2 Материя + 1 Огонь,Может создать редкую карту Формы после playtest.,SD02 — Архитектор Форм / Хранитель Формы,Связка с 50 картами Форм. Разлом повреждает при провале Преобразования.
