ID,название Формы,тип,где размещается,стоимость создания,эффект,условие повреждения,условие разрушения,связь с Разрывом/Преобразованием,тестовая заметка
FORM-001,Плотический Настил,Малая Форма / Плотика,зона Физического мира / дорога,1 Материя + 1 Импульс,Выбери: сделать опасную клетку обычной до конца раунда или дать союзнику безопасный проход через 1 клетку.,если в зоне появляется Искажение,если применён Разрыв дороги или зона горит,Преобразование: настил становится устойчивой дорогой; Разрыв: превращает дорогу в обвал.,"Простая карта обучения: зона меняется, но не ломает баланс."
FORM-002,Витический Росток,Малая Форма / Витика,клетка Корня или Убежища,1 Огонь или 1 Импульс,Выбери: восстановить 1 повреждение Корня или получить 1 Пищу/Энергию.,если игрок берёт нижний долг в этой зоне,если Корень разрушен полностью,"Преобразование: росток становится Садом Корня; Разрыв: даёт ресурс, но убивает росток.","Проверить, не слишком ли часто лечит Корни."
FORM-003,Сиаматическая Связка,Малая Форма / Сиаматика,между двумя соседними клетками,1 Связь + 1 Импульс,Соедини две соседние клетки: союзник может передать через них 1 ресурс.,если одна из клеток получает Искажение,если обе клетки становятся враждебными,Преобразование: связь становится малым каналом; Разрыв: разрывает связь и даёт 1 Шрам.,Учить игроков совместной экономике.
FORM-004,Амато-Допуск,Малая Форма / Амато,у закрытого прохода или портала,1 Полномочие или 2 Импульса,Открой закрытый проход для одного персонажа без полного портального ритуала.,если персонаж проваливает действие входа,если портал получает 2 повреждения,Преобразование: допуск закрепляется как ключ; Разрыв: проход закрывается для всех.,Использовать как мягкий ввод к порталам.
FORM-005,Атмический Ориентир,Малая Форма / Атмический,клетка выбора / развилки,1 Внимание + 1 Импульс,До конца раунда игроки на этой клетке могут один раз заменить риск на выбор.,если выбран путь нижнего долга,если на клетке происходит Великий Разрыв,Преобразование: ориентир становится законом выбора; Разрыв: выбор превращается в принуждение.,Проверить ясность формулировки для новичков.
FORM-006,Плотическая Стена,Малая Форма / Плотика,граница зоны или Убежища,1 Материя + 1 Инструмент,Заблокируй первое входящее негативное событие в этой зоне.,если событие имеет силу 3+,если два негативных события подряд ударяют в зону,Преобразование: стена становится Защитным Поясом; Разрыв: стена падает и блокирует движение.,Базовая защита зоны.
FORM-007,Витический Очаг,Малая Форма / Витика,Убежище / точка отдыха,1 Пища + 1 Огонь,В конце раунда один персонаж в зоне снимает Усталость или получает 1 Импульс.,если зона лишается Огня,если Убежище получает тяжёлое повреждение,Преобразование: очаг становится Сердцем Убежища; Разрыв: очаг гаснет и даёт холод.,Нужна для чувства дома и восстановления.
FORM-008,Зеркало Первого Образа,Малая Форма / TO-VERIFY материя образа,клетка Тонкого мира / Образ,1 Внимание,Посмотри верхнюю карту события; выбери оставить её или положить вниз колоды.,если открытая карта — Искажение,если зеркало использовано три раза без очистки,Преобразование: зеркало раскрывает Искажение; Разрыв: зеркало создаёт ложный образ.,"Слабое, понятное исследование."
FORM-009,Малый Якорь Порога,Малая Форма / Плотика + Амато,клетка Порога,1 Материя + 1 Полномочие,"Портал, подготовленный на этой клетке, не закрывается от первого сдвига орбитали.",если портал использован без оплаты,если Порог получает Разрыв,Преобразование: якорь становится Портальным Узлом; Разрыв: выбрасывает персонажа на соседнюю клетку.,Подготовка порталов без сложной математики.
FORM-010,Световая Метка,Малая Форма / TO-VERIFY светика,любая раскрытая клетка,1 Ясность,Пометь клетку: следующее исследование здесь получает безопасный результат вместо слепого риска.,если на клетку входит Нижний эффект,если метка перекрыта тремя Искажениями,Преобразование: метка становится малым законом зоны; Разрыв: метка слепит и отменяет исследование.,"Проверить, как часто игроки маркируют карту."
FORM-011,Чаша Импульса,Малая Форма / сосуд,зона ресурса,1 Материя + 1 Связь,Один раз за раунд храни здесь 1 Импульс; любой союзник в зоне может взять его.,если ресурс украден или зона спорная,если Чаша содержит 2 Искажения вместо ресурса,Преобразование: чаша становится Сосудом Огня; Разрыв: сбрасывает накопленный ресурс.,Учить общей экономике.
FORM-012,Нить Возврата,Малая Форма / Сиаматика,между персонажем и Убежищем,1 Связь + 1 Память,Один раз верни персонажа на 1 клетку назад без провала события.,если персонаж входит в Нижний мир,если связь с Убежищем потеряна,Преобразование: нить становится тропой; Разрыв: возвращает не туда.,Нужна как страховка для новичков.
FORM-013,Камень Памяти,Малая Форма / Плотика + память,Убежище или Корень,1 Материя + 1 Память,Сохрани один положительный след зоны до следующего сценария.,если зона получает Шрам,если Камень разрушен Разрывом формы,"Преобразование: память становится законом; Разрыв: память теряется, но даёт 1 Импульс.",Первый ввод кампанийной записи.
FORM-014,Пороговый Фонарик,Малая Форма / светика,портал / тёмная клетка,1 Огонь,Перед входом в портал раскрой риск: можно отказаться от входа без штрафа.,если Огонь потушен,если портал заражён,Преобразование: фонарик становится Маяком Перехода; Разрыв: свет указывает ложный путь.,Должен снижать страх порталов.
FORM-015,Лёгкая Печать Формы,Малая Форма / печать,созданная малая Форма,1 Полномочие,Защити одну малую Форму от первого повреждения.,если Форма уже была повреждена,если пришёл Разрыв закона,Преобразование: печать укрепляет Форму; Разрыв: печать закрывает Форму для союзников.,Мета-карта для сохранения конструкций.
FORM-016,Плотический Мост,Устойчивая Форма / Плотика,между двумя зонами Физического мира,2 Материя + 1 Инструмент + 1 Импульс,Создай постоянный путь: игроки могут переходить между двумя зонами на 1 движение дешевле.,если одна зона получает тяжёлое Искажение,если обе опоры моста разрушены,Преобразование: мост становится портальной дорогой; Разрыв: мост падает и создаёт блокаду.,Проверить экономию движения.
