id,type,canonical_name,real_place,region,historical_fact,mythic_hypothesis,mechanic_role,source_document,status,prompt_status
LOC-01,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-02,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-03,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-04,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-05,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-06,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-07,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-08,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-09,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-10,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-11,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-12,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-13,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-14,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-15,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-16,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-17,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-18,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
