ID,колода,название,мир/орбиталь,тип существа,что предлагает,что требует,риск,как получить помощь,как потерять,связанная колода,тестовая заметка
MED-001,Посредники,Брокер сна,Тонкий ↔ Физический,сонный посредник,провести через сон или продать видение причины,Память сна и запрет на один быстрый эффект,может увести в более глубокий сон,записать сон и оплатить Ясность,купить путь без пробуждения,Сны; Порталы,торгует маршрутом и зависимостью
MED-002,Посредники,Смотритель пробуждения,Спящие ↔ Пробуждённые,страж перехода,дать шанс выйти из иллюзии,отказ от удобной лжи,при провале усилит Маску,раскрыть одно самообманное желание,выбрать комфортный сон,Тонкий мир; Персонажи,проверяет выбор
MED-003,Посредники,Меняла возможностей,Физический ↔ Орбитали,торговец вероятностями,обменять потерянную возможность на другой путь,закрыть старый путь навсегда,новый путь дороже ресурсами,принять потерю и назвать новую цель,пытаться сохранить оба пути,Кампания; Орбитали,сделка с необратимостью
MED-004,Посредники,Сборщик невыполненных обещаний,Метагалактический ↔ Тонкий,договорный посредник,"показывает договор, мешающий сценарию",исполнить или отменить обещание,отмена создаёт социальный долг,выполнить малое обещание,пообещать снова без действия,Кампания; Экополис,долги как сюжет
MED-005,Посредники,Портальный нотариус,Метагалактический ↔ Порталы,нотариус перехода,легализует рискованный портал,1 Полномочие и запись условия,не записанный пункт становится ловушкой,"записать источник, цель и цену",войти без условия,Порталы; Законы мира,структура портала
MED-006,Посредники,Таможенник орбиталей,Орбитали ↔ Вертикаль,таможенный страж,разрешает перенос карты/ресурса между орбиталью и миром,оставить пошлину или информацию,может конфисковать лишний ресурс,заранее объявить груз,прятать карту или ресурс,Орбитали; Ресурсы,контроль переносов
MED-007,Посредники,Фейный арбитр шутки,Феи ↔ Физический,трикстер-арбитр,переводит провал в смешной полезный эффект,принять нелепое условие,условие меняет маршрут,выполнить сказочную цену,объяснять шутку как правило без платы,Орбитали; События,контролируемый хаос
MED-008,Посредники,Нижний коллектор,Ад/Демонский/Омарный ↔ Экополис,коллектор долга,снимает немедленный штраф за будущую цену,записать долг на здание или героя,долг вернётся в худший момент,оплатить честную реструктуризацию,скрыть долг,Экополис; Законы мира,опасная полезность
MED-009,Посредники,Ангельский переговорщик,Ангельская орбиталь ↔ Тонкий мир,мирный посредник,останавливает конфликт фракций на раунд,обе стороны теряют сильный эффект,конфликт может вернуться,выбрать защиту связи,использовать перемирие для атаки,Союзники; События,мир требует отказа
MED-010,Посредники,Сириусский диспетчер конъюнкций,Аштар/Сириус ↔ Орбитали,диспетчер орбит,сдвигает будущую конъюнкцию на 1 шаг,координаты и чистый канал,сигнал привлекает чужое событие,очистить канал перед сдвигом,сдвинуть ради одного игрока,Порталы; Орбитали,планирование вместо кубика
MED-011,Посредники,Аркановый судья развилки,Арканы ↔ Метагалактический,судья выбора,делает невыбранный путь явным следом,принять след как часть истории,след станет испытанием позже,записать выбор и цену,переписать выбор без платы,События; Кампания,ветвление кампании
MED-012,Посредники,Сефирный медиатор меры,Сефиры ↔ Законы мира,медиатор меры,сбалансировать слишком сильный закон,снизить выгоду сильной карты,игроки теряют взрывной ход,добровольно принять меру,стакать закон без ограничения,Законы мира; Баланс,встроенный баланс
MED-013,Посредники,Проводник пепельного договора,Огненный ↔ Кампания,пепельный договорщик,превращает разрушение в миссию восстановления,Пепельный След и согласие команды,миссия занимает слот кампании,принять последствие разрушения,стереть потерю из истории,Формы; Кампания,потери создают контент
MED-014,Посредники,Огненный оценщик жертвы,Огненный ↔ Синтезный,оценщик цены,показывает минимальную цену спасения,добровольная жертва или отказ,навязанная жертва становится Разрывом,"дать право платить тому, кто выбирает",заставить другого платить,Кооперация; Законы мира,этический фильтр
MED-015,Посредники,Интегратор обратного хода,Синтезный ↔ Физический,интегратор нисхождения,закрепить верхний эффект в нижней зоне,нижняя опора: Форма/здание/Корень,без опоры эффект прожигает зону,подготовить опору,применить сверху вниз без проверки,Формы; Экополис,синтез с ограничением
MED-016,Посредники,Хранитель двери без возврата,Порталы ↔ Кампания,страж необратимого маршрута,"открывает сильный маршрут, закрывая старый","назвать, что остаётся позади",невозвратность лишает ресурсов,принять потерю старой дуги,пытаться вернуться бесплатно,Порталы; Кампания,кампанийный выбор
MED-017,Посредники,Биржевик вращающегося рынка,Орбитали ↔ Deckbuilding,рыночный посредник,заменить карту рынка после сдвига орбитали,1 Память или 1 Импульс,нужная карта может уйти,заплатить до обновления,требовать старую цену после сдвига,Развитие; Орбитали,рынок связан с космологией
MED-018,Посредники,Переводчик языка жителей,Жители ↔ Игроки,дипломат,снижает цену помощи жителя,потратить действие на разговор,плохой перевод меняет требование,выслушать требование существа,давить силой,Жители миров; Союзники,NPC не враги
MED-019,Посредники,Контролёр качества имени,Имена ↔ Public language,терминологический посредник,даёт безопасное публичное название эффекта,убрать прямую эзотерическую формулу,название может потерять смысл,найти игровой перевод термина,оставить внутренний термин как есть,IP/Legal; Законы мира,массовый язык
MED-020,Посредники,Посредник Корня и здания,Корни ↔ Экополис,экологический медиатор,переводит восстановление Корня в бонус здания,ресурс Витика или действие ухода,перегрузка Корня повреждает здание,ухаживать за Корнем до бонуса,выкачать ресурс сразу,Экополис; Формы,Экополис живой
