source_id,title,author,drive_file_id,drive_folder_id,drive_folder_path,status,note,last_verified
B03-OSC-END-HIVE,The Hive,Orson Scott Card/Aaron Johnston,1GcISofbFbnX29OwrQtZQz-CMxmXviNvH,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,,2026-08-16
B03-OSC-END-SWARM,The Swarm,Orson Scott Card/Aaron Johnston,1NLfDrbJ0-CxaGRalPxZiIX5_1v4ZCR0b,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,,2026-08-16
B03-OSC-END-XENO,Xenocide,Orson Scott Card,1ZfZUEvL5lGGSBTUmjVt-ZtBA20KCHwcw,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,ENGLISH,2026-08-16
B03-OSC-END-SHADOW5,The Shadow Quintet,Orson Scott Card,1ZpPD5CBExr6ut1J0D1ICRYmFH_nkNyKu,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,COLLECTION,2026-08-16
B03-OSC-END-GIANT,Shadow of the Giant,Orson Scott Card,1fp644r_jg15JfCcaevBGKDlxGWDVkuj4,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,,2026-08-16
B03-OSC-END-HEGEMON,Shadow of the Hegemon,Orson Scott Card,18l9-FXjEQRqXqunJszECZrzvrusNUwUL,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,,2026-08-16
B03-OSC-END-PUPPETS,Shadow Puppets,Orson Scott Card,1P58tZ4iQiCwhMbHOiLNN1v31x0PGlPk4,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,ENGLISH,2026-08-16
B03-OSC-END-FLIGHT,Shadows in Flight,Orson Scott Card,18-UpuVccUeuzY7SgopzTJjCG0ppoMf8Q,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,ENHANCED_EDITION,2026-08-16
B03-OSC-END-CHILD-SP,Children of the Mind,Orson Scott Card,1wOVyChQ_QFleeC9UmJ96G8tDwjAIjL8f,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,SPANISH,2026-08-16
B03-OSC-END-GAME-EN,Ender's Game,Orson Scott Card,1NuCSdq6zXCu6MFGYVXBboh27S1gWeIxq,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,ENGLISH,2026-08-16
B03-OSC-END-SHADOW-EN,Ender's Shadow,Orson Scott Card,1GN_pWi8cupvoELXYKSQXdlrN0P1BpyFH,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,ENGLISH,2026-08-16
B03-OSC-END-EXILE-EN,Ender in Exile,Orson Scott Card,1AS_4NdQ7SH-xYyL9AoohNrWN-J90xsQj,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,ENGLISH,2026-08-16
B03-OSC-END-FIRST,First Meetings in the Enderverse,Orson Scott Card,1mjntZhEsLhp7o0JvadW5vFq7AC7BrAqK,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,,2026-08-16
B03-OSC-END-LAST,The Last Shadow,Orson Scott Card,1MNMq2FcEFl4RdUfAIQ4tuiS0nharS8Q5,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,,2026-08-16
B03-OSC-END-EARTHAWAKENS,Earth Awakens,Orson Scott Card/Aaron Johnston,1uwwG0a6uNcuNm1dMVAzOoXRQf0wHiMv-,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,,2026-08-16
B03-OSC-END-GAME-SP,Ender's Game,Orson Scott Card,12f39HFvVKTLYDsdnThNAZiNWIb4qa41t,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,SPANISH,2026-08-16
B03-OSC-END-XENO-SP,Xenocide,Orson Scott Card,1Tf7IFUkELUno0QlhzzOxODhKZ_X_6Yij,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,SPANISH,2026-08-16
B03-OSC-HOME-MEM,The Memory of Earth,Orson Scott Card,1F4tb4ArkE6Q6hqdfd924l2UgV3DiT_W-,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,ENGLISH,2026-08-16
B03-OSC-HOME-SHIPS,The Ships of Earth,Orson Scott Card,1lgpZonTm-lRBGPBa0TfrbDn9ROwdJIuK,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,ENGLISH,2026-08-16
B03-OSC-HOME-CALL,The Call of Earth,Orson Scott Card,1MEtAHyKja99PG-AYuWvBqG0MhfE4JvL9,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,ENGLISH,2026-08-16
B03-OSC-HOME-SHIPS-SP,Las naves de la Tierra,Orson Scott Card,10GwNJ_MSnYx3JpED7YnRQBJzsVseSJvH,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,SPANISH_CANONICAL_COPY,2026-08-16
B03-OSC-HOME-SHIPS-SP-DUP,Las naves de la Tierra,Orson Scott Card,1Sd_AB2p645uxu5crlsroRbC-e7hIfFwp,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,DUPLICATE_ARCHIVED,SAME_SIZE_NAME_DUP,2026-08-16
B03-OSC-HOME-RET3,La Saga del Retorno 3,Orson Scott Card,11_To_eUiLik6BqaInoegWOqqJyA4ZXoB,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,SPANISH,2026-08-16
B03-OSC-HOME-CALL-SP,La llamada de la Tierra,Orson Scott Card,10VB-ZhDYhlgM323eBa0axe9cnibfTH3X,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,SPANISH,2026-08-16
B03-OSC-HOME-RET4,La Saga del Retorno 4,Orson Scott Card,1ZQuUXkKbWqv6DkPwNItbTOUiwovAolsp,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,SPANISH,2026-08-16
B03-OSC-HOME-MEM-SP,La memoria de la Tierra,Orson Scott Card,1Ikk0ngGZv3WPrpM9CHiNVnA2u2-0kgrn,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,SPANISH,2026-08-16
B03-OSC-HOME-RETURN,Retorno a la Tierra,Orson Scott Card,1ZMmqj1BQmgZedwDgkReBWMU3dVVbfPEx,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,SPANISH,2026-08-16
B03-OSC-HOME-RET1,La Saga del Retorno 1,Orson Scott Card,1etdUUYpNfE_mTUqa7XWYi0qonNA5o7j4,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,SPANISH,2026-08-16
B03-OSC-HOME-RET2,La Saga del Retorno 2,Orson Scott Card,1Q9lrWAumE88hk8YpKzikiScSqSxZxOwx,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,SPANISH,2026-08-16
B03-OSC-HOME-BORN,Nacidos en la Tierra,Orson Scott Card,1qQBfaDMpbvDyiJfBeld0Gj6lkuAOKtva,1HhLFb0_OTX3lvgmE5TbjWIEudh_7XCrk,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/04_HOMECOMING_SAGA,ROUTED,SPANISH,2026-08-16
B03-OSC-ALVIN-SEVENTH,Seventh Son,Orson Scott Card,1U9Jgd86mL_C452YSp7PveqRA07wGNzIn,19i5vItD9J8NRmqnVdB2S7yM2ADrS56eA,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/05_ALVIN_MAKER,ROUTED,ENGLISH,2026-08-16
B03-OSC-ALVIN-RED,Red Prophet,Orson Scott Card,1wKFva5LH0AfLwKcjudHoDo6ivGcqICWW,19i5vItD9J8NRmqnVdB2S7yM2ADrS56eA,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/05_ALVIN_MAKER,ROUTED,ENGLISH,2026-08-16
B03-OSC-ALVIN-PRENTICE,Prentice Alvin,Orson Scott Card,1u5qN07sfW88ID3Nfu_praTBybnjImn3E,19i5vItD9J8NRmqnVdB2S7yM2ADrS56eA,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/05_ALVIN_MAKER,ROUTED,ENGLISH,2026-08-16
B03-OSC-ALVIN-HEART,Heartfire,Orson Scott Card,1qAxR8gaQNMb3WJGW0BXzqRHxFvxd2S_p,19i5vItD9J8NRmqnVdB2S7yM2ADrS56eA,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/05_ALVIN_MAKER,ROUTED,ENGLISH,2026-08-16
