ID,колода,название,источник,куда кладётся,постоянный эффект,можно ли снять,как влияет на следующий сценарий,как влияет на кампанию,визуальная идея,тестовая заметка
CON-001,Последствия,Память Разлома,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-002,Последствия,Долг Убежища,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-003,Последствия,Свидетели Падения,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-004,Последствия,Открытый Узел,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-005,Последствия,Невыполненная Клятва,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-006,Последствия,Слишком Ранний Прожиг,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-007,Последствия,Сохранённый Осколок,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-008,Последствия,Зона Запомнила Имена,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-009,Последствия,След Спасённых,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-010,Последствия,Забытый Туннель,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-011,Последствия,Пустой Пьедестал,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-012,Последствия,Карта Предупреждений,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-013,Последствия,Цена Молчания,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-014,Последствия,Сдвинутая Орбиталь,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-015,Последствия,Пожертвованный Рынок,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-016,Последствия,Чужой Договор,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-017,Последствия,Неназванный Корень,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-018,Последствия,Мост Через Пепел,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-019,Последствия,Возврат Проявления,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-020,Последствия,Сломанный Ритуал Выхода,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-021,Последствия,Общий Долг,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-022,Последствия,Зарубка Разведчика,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-023,Последствия,Снятая Маска,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-024,Последствия,Охлаждённый Накал,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-025,Последствия,Порог Синтеза,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-026,Последствия,Потерянная Опора,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-027,Последствия,Архив Боли,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-028,Последствия,Нарушенный Обмен,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-029,Последствия,Отмеченный Проводник,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-030,Последствия,Серое Перемирие,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-031,Последствия,Оставленный Страж,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-032,Последствия,Переименованный Путь,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-033,Последствия,Недогоревший Корень,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-034,Последствия,Портальная Миграция,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-035,Последствия,Признанное Полномочие,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-036,Последствия,Проклятая Победа,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-037,Последствия,Светлый Дефицит,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-038,Последствия,Омарная Затяжка,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-039,Последствия,Аидийская Память,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
CON-040,Последствия,Великая Трещина Предчувствия,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-001,Шрамы,Просевший Фундамент,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-002,Шрамы,Неровный Шов Портала,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-003,Шрамы,Слепое Пятно,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-004,Шрамы,Пыль Невозврата,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-005,Шрамы,Обет Страха,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-006,Шрамы,Пепельная Память,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-007,Шрамы,Заражённый Якорь,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-008,Шрамы,Разорванная Нить,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-009,Шрамы,Ложное Имя,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-010,Шрамы,Тяжесть Неуплаты,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-011,Шрамы,Оглушённая Тишина,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-012,Шрамы,Потерянная Мера,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-013,Шрамы,Отвергнутые Жители,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-014,Шрамы,Сердце Пустой Зоны,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-015,Шрамы,Омарная Лень,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-016,Шрамы,Демоническая Метка,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-017,Шрамы,Сломанный Договор Света,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-018,Шрамы,Аидийский Зов Назад,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-019,Шрамы,Перегретый Инструмент,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-020,Шрамы,Проваленная Конъюнкция,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-021,Шрамы,Непрожитый Выбор,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-022,Шрамы,Утраченный Образ,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
