ID,здание / организация Экополиса,источник со скрина,тип здания,нормальный эффект,повреждённый эффект,стоимость ремонта,способ улучшения,какой Разлом повреждает,лучшая роль / колода,тестовая заметка
ECO-001,Дом Культуры,Культура ИВО каждого,культура / вдохновение,Снять 1 слабое Искажение настроения или получить 1 Вдохновение.,Только один игрок получает эффект.,1 Связь + 1 Память,Центр Культурного Синтеза,Разлом Культуры: конфликт смысла.,SD08 — Миротворец,Социальная поддержка.
ECO-002,Дом Мировоззрения,Мировоззрение ИВО каждого,мировоззрение / выбор,Заменить один риск события на выбор или раскрыть скрытый смысл зоны.,Можно только раскрыть смысл.,1 Ясность + 1 Память,Палата Парадигмы,Разлом Мировоззрения: трудный вариант обязателен.,SD09 — Арканист,Меняет выбор.
ECO-003,Дом Образования,Образование ИВО каждого,обучение / добор,"Добрать 1 карту и сбросить 1; если сброшена стартовая карта, получить 1 Импульс.",Добор даёт Усталость или потерю ресурса.,1 Память + 1 Импульс,Академия Обучения,Разлом Образования: ложное обучение.,SD06 — Наставник,Качество руки.
ECO-004,Империя Профессионалов,Империя ИВО каждого,мастерство / инструменты,Удешевить покупку или использование Инструмента на 1 ресурс.,Инструмент получает риск повреждения.,1 Материя + 1 Инструмент,Палата Мастерства,Разлом Профессионализма: Усталость при работе.,SD02 — Архитектор,Связь с Инструментами.
ECO-005,Дом Мира,Мир ИВО каждого,мир / примирение,Отменить конфликт между игроками или снизить командный риск на 1.,Конфликт только откладывается.,1 Связь + 1 Ясность,Центр Мира,Разлом Мира: совместные действия дороже.,SD08 — Миротворец,Не абсолютная защита.
ECO-006,Палата Плана Синтеза,План Синтеза ИВО каждого,стратегия,"Посмотреть 2 события и выбрать, к какому готовиться.",Смотреть только 1 событие.,1 Память + 1 Ясность + 1 Импульс,Стратегический Совет Синтеза,Разлом Плана: план становится ограничением.,SD11 — Синтезатор,План без полного контроля.
ECO-007,Центр Энергопотенциала,Энергопотенциал ИВО каждого,энергия / импульс,Команда получает 1 общий Импульс в начале раунда.,Импульс требует Пищу или Огонь.,1 Энергия + 1 Огонь,Генератор Импульса,Разлом Энергопотенциала: Импульс с Усталостью.,SD11 — Ресурсы,Проверить пассивный ресурс.
ECO-008,Общество Иерархии Равных,Общество Иерархии Равных ИВО каждого,равное управление,Два игрока объединяют слабые действия в одно среднее без лидера.,Только если оба в одной зоне.,2 Связь,Совет Равных,Разлом Равенства: один игрок берёт долг команды.,SD08 — Команда,Кооперация.
ECO-009,Дом Экономики,Экономика ИВО каждого,экономика,Обменять 2 любых ресурса команды на 1 нужный ресурс.,Обмен 3 к 1.,1 Материя + 1 Связь,Ресурсный Контур,Разлом Экономики: ресурс заморожен.,SD11 — Ресурсы,Engine экономики.
ECO-010,Дом Шестой ИВДИВО-Космической Расы,Шестая ИВДИВО-космическая Раса ИВО каждого,эволюция тела / носитель,После успешной практики персонаж получает временный слот развития.,Слот требует +1 Импульс при использовании.,1 Огонь + 1 Память + 1 Материя,Дом Нового Носителя,Разлом тела: слот нестабилен.,SD10 — Огненный,Связать с Актом II.
ECO-011,Дом Информации,Информация ИВО каждого,разведка / информация,Посмотреть верхнюю карту события или скрытую сторону соседней зоны.,Подсказкой нельзя делиться без Связи.,1 Ясность + 1 Связь,Центр Раскрытия,Разлом Информации: ложная подсказка.,SD03 — Провидец,Исследование.
ECO-012,Дом Иерархии,Иерархия ИВО каждого,порядок / допуск,Выдать временный допуск к карте на 1 уровень выше.,Допуск идёт с долгом или ограничением.,1 Полномочие + 1 Закон,Палата Полномочий,Разлом Иерархии: допуск становится запретом.,SD05 — Страж,Фильтр уровней.
ECO-013,Дом Синархии,Синархия ИВО каждого,согласование ролей,Одна карта роли может помочь другой без нахождения в одной зоне.,Помощь требует 1 Связь.,2 Связь + 1 Ясность,Синархический Контур,Разлом Синархии: роли мешают друг другу.,SD11 — Синтезатор,Поздняя кооперация.
ECO-014,Дом Развития,Развитие ИВО каждого,развитие карты / роли,Улучшенная стартовая карта получает постоянную метку развития.,Метка только до конца сценария.,1 Импульс + 1 Память + 1 Огонь,Центр Эволюции,Разлом Развития: сила с Искажением.,SD01 — Странник,Рост колоды.
ECO-015,Дом Цивилизации,Цивилизация ИВО каждого,развитие зоны,Раскрытая зона получает метку развития и слабый полезный эффект.,Эффект требует 1 ресурс.,2 Материя + 1 Связь,Центр Цивилизационного Синтеза,Разлом Цивилизации: Шрам зоны.,SD02 — Архитектор,Развитие карты.
ECO-016,Дом Науки,Наука ИВО каждого,исследование / проверка,Проверить скрытую угрозу: узнать тип и подготовить защиту.,"Тип раскрыт, защиты нет.",1 Ясность + 1 Инструмент,Исследовательская Палата,Разлом Науки: неполный результат.,SD03 — Следопыт,Диагностика.
ECO-017,Высшая Школа Синтеза,Высшая Школа Синтеза ИВО каждого,обучение / практика / Синтез,Подготовить карту-практику или снизить её стоимость на 1 Импульс.,Практика готовится с Усталостью.,1 Ясность + 1 Связь + 1 Огонь,Синтезный Факультет,Разлом Школы: практика без допуска.,SD06 — Наставник,Связь с Актами.
ECO-018,Аттестационный Совет,Аттестация ИВО каждого,аттестация / допуск,Пройти проверку и получить временный допуск к карте высокого уровня.,Допуск с долгом или ограничением.,1 Полномочие + 1 Закон + 1 Память,Высший Аттестационный Совет,Разлом Аттестации: полномочие без служения.,SD05 — Страж,Главный фильтр сильных карт.
ECO-019,"Дом Парадигмы, Философии и Стратегии","Парадигм, Философии, Стратегии ИВО каждого",парадигма / стратегия,Изменить правило одной зоны на мягкий вариант до конца раунда.,Изменение даёт откат.,2 Ясность + 1 Закон,Стратегический Дом Парадигм,Разлом Парадигмы: правило против игроков.,SD09 — Арканист,Сильный редкий эффект.
ECO-020,Дом ИВДИВО Каждого,ИВДИВО каждого,личная миссия,Связать личную цель с командной и получить 1 Импульс.,Цель требует дополнительную цену.,1 Память + 1 Связь,Дом Личной Миссии,Разлом Личного Пути: конфликт с командой.,SD00 — Универсальный,Соло/обучение.
ECO-021,Дом ИВДИВО-Полисов и ИВДИВО-Зданий,ИВДИВО-Полисов и ИВДИВО-Зданий,строительство Экополиса,Построить следующее здание Экополиса на 1 Материю дешевле.,Новое здание входит повреждённым.,2 Материя + 1 Полномочие,Планировочный Центр Экополиса,Разлом Полиса: здание с ограничением.,SD02 — Архитектор,Планшет Экополиса.
ECO-022,Дом ИВДИВО-Разработки,ИВДИВО-Разработка,разработка карт / модулей,"Создать временную карту-черновик: слабое действие, Форма или Инструмент.",Черновик работает один раз.,1 Инструмент + 1 Память + 1 Импульс,Центр Разработки,Разлом Разработки: нестабильный эффект.,SD11 — Синтезатор,Кампанийное творчество.
ECO-023,Дом Синтеза Частностей,Синтез Частностей ИВО каждого,сборка малых элементов,Соединить две малые Формы или два малых ресурса в один средний эффект.,Один элемент повреждается.,1 Синтез + 1 Связь,Дом Систем Частей,Разлом Частностей: конфликт элементов.,SD11 — Синтезатор,Нужны примеры на карте.
ECO-024,Дом Синтеза Аппаратов Систем Частей,Синтез Аппаратов Систем Частей ИВО каждого,аппараты / сложные инструменты,Инструмент получает дополнительный режим на один раунд.,Инструмент затем повреждается.,1 Инструмент + 1 Синтез + 1 Материя,Аппаратный Центр,Разлом Аппарата: режим срабатывает неверно.,SD04 — Алхимик,Поздний модуль.
ECO-025,Дом Синтеза Систем Частей,Синтез Систем Частей ИВО каждого,системы / сборка колоды,Собрать 3 связанные карты в систему: первая удешевляет вторую на 1.,Работает только если карты в одной руке/зоне.,2 Связь + 1 Синтез,Матрица Систем,Разлом Системы: часть блокирует часть.,SD11 — Синтезатор,Проверить сложность.
ECO-026,Дом Синтеза Частей,Синтез Частей ИВО каждого,части / слоты персонажа,Перестроить один слот: заменить подготовленную карту на карту той же стоимости.,Замена с Усталостью.,1 Память + 1 Синтез,Палата Частей,Разлом Частей: слот заблокирован.,SD02 — Архитектор,Связь с Частями.
ECO-027,Дом Синтеза Отеч-Человек-Субъекта,Синтез Отеч-Человек-Субъекта ИВО каждого,личность / коллектив / миссия,Связать личное действие с развитием зоны; при успехе зона получает след развития.,След требует 1 ресурс команды.,1 Память + 1 Закон + 1 Связь,Дом Коллективного Логоса,Разлом Субъекта: личное расходится с коллективным.,SD09 — Арканист,Нужно публичное переименование.
ECO-028,Гражданская Конфедерация,Гражданская Конфедерация ИВО каждого,общественный союз,"Когда Разлом повреждает здание, команда распределяет цену ремонта между игроками.",Каждый платящий получает Усталость.,2 Связь + 1 Материя,Конфедеративный Совет,Разлом Конфедерации: ремонт дорожает.,SD08 — Миротворец,Командная защита.
ECO-029,Дом Эстетики,Эстетика ИВО каждого,гармония формы,Снять грубое Искажение Формы или дать Форме эстетическую метку.,Метка только снимает штраф.,1 Ясность + 1 Материя,Палата Гармонии,Разлом Эстетики: Форма дороже в ремонте.,SD02 — Архитектор,Художественное ядро.
ECO-030,Дом Этики,Этика ИВО каждого,этика / цена выбора,Выбрать меньший эффект без нижнего долга вместо сильного эффекта со скрытой ценой.,Меньший эффект требует 1 Импульс.,1 Закон + 1 Ясность,Совет Этики,Разлом Этики: скрытая цена.,SD09 — Арканист,Анти-эксплойт.
ECO-031,Дом Воспитания,Воспитание ИВО каждого,рост роли / дисциплина,Стартовая карта получает метку тренировки: следующее использование даёт дополнительный выбор.,После использования карта уходит в сброс с Усталостью.,1 Память + 1 Импульс,Школа Воспитания,Разлом Воспитания: принуждение.,SD06 — Наставник,Обучение игроков.
ECO-032,Дом Искусства,Искусство ИВО каждого,искусство / Формы / преобразование,"Создать художественную Форму в зоне: вдохновение, защита от грубого Искажения или +1 к Преобразованию.",Форма получает повреждение при первом Разломе.,1 Материя + 1 Вдохновение + 1 Огонь,Дом Сотворённой Формы,Разлом Искусства: ложный образ.,SD04 — Алхимик,"Искусство, Формы, мир."
