ID,название закона,мир,когда входит в игру,что меняет,кому помогает,кому мешает,как снять,как преобразовать,тестовая заметка
LAW-001,Закон Тяжести Материи,Физический,Плотная территория или разрушенная дорога.,Движение стоит +1 Импульс; Плотические Формы дешевле на 1 Материю.,Строителям.,Быстрым ролям.,Построить мост или заплатить 2 Импульса.,"Надёжная Опора: движение нормально, Формы устойчивее.",Баланс движения и строительства.
LAW-002,Закон Открытой Дороги,Физический,Очищен маршрут.,Первое движение каждого игрока дешевле на 1; порталы на маршруте не открываются в тот же раунд.,Страннику.,Портальным ролям.,Закрыть маршрут или принять Искажение дороги.,Путевой Круг: движение и портал совместимы.,Ускоряет карту.
LAW-003,Закон Реального Последствия,Физический,После разрушения здания/Формы/Корня.,"Разрушение оставляет Шрам; ремонт дешевле на 1, если последствие записано.",Кампании.,Безответственной игре.,Восстановить структуру или закрыть Шрам.,Память Материи: Шрам становится подсказкой.,Кампанийная ответственность.
LAW-004,Закон Общего Труда,Физический,2+ игрока в одном здании.,Два слабых физдействия = одно среднее; одиночные действия дороже на 1 Импульс.,Команде.,Соло-рывкам.,Разойтись или оплатить 2 Связи.,Согласованный Труд: одиночные действия не дорожают.,Поощряет кооперацию.
LAW-005,Закон Порога Тела,Физический,Перед Актом II или телесным переходом.,"Сильные практики требуют Материю/Пищу; провал даёт Усталость, не смерть.",Огненному Проводнику.,Игрокам без ресурсов тела.,Отдых или Зал Восстановления.,Новый Носитель: практика открывает слот.,Связать с Ядерным переходом.
LAW-006,Закон Территориального Следа,Физический,Зону посещают трижды.,Исследование знакомой зоны дешевле на 1; угрозы тоже знают маршрут.,Разведке.,Злоупотреблению маршрутом.,Сменить маршрут или очистить след.,Домашняя Земля: зона ресурсная.,Смысл повторного посещения.
LAW-007,Закон Материального Долга,Физический,Строительство без полной оплаты.,Недоплата становится долгом: следующее строительство +1 Материя.,Экономике.,Бесплатному ускорению.,Заплатить долг или пожертвовать Инструмент.,Честная Постройка: долг становится скидкой после ремонта.,Анти-эксплойт.
LAW-008,Закон Пищи и Усталости,Физический,2+ Усталости за раунд.,"Восстановление требует Пищу; без Пищи игрок получает Импульс, но сохраняет Усталость.",Восстановлению.,Агрессивной игре без отдыха.,Потратить 2 Пищи или активировать Витический Сад.,Живой Обмен: Пища лечит и даёт Связь.,Физическая цена действий.
LAW-009,Закон Внимания,Тонкий,Вход в Тонкий мир.,Раскрытие Искажения требует 1 Внимание; без него раскрытие рискованно.,Провидцу.,Слепому исследованию.,Потратить 2 Ясности.,Ясный Взгляд: первое раскрытие бесплатно.,Цена знания.
LAW-010,Закон Эха Памяти,Тонкий,Повтор события.,"Событие можно переиграть мягче, но нужно сохранить след в Архиве.",Архиву.,Игре без памяти.,Сбросить след или заплатить Память.,Верная Память: след становится ресурсом.,Сюжетность.
LAW-011,Закон Маски,Тонкий,Чужая роль/образ.,"Карта чужой роли дешевле на 1, но проверяется Искажение личности.",Гибким ролям.,Чистым специализациям.,Снять Маску через Дом Мировоззрения.,Осознанная Роль: чужая карта обучена.,Ограничить универсальность.
LAW-012,Закон Скрытого Искажения,Тонкий,Искажение скрыто 2 раунда.,Скрытые Искажения усиливаются; раскрытие даёт 1 Ясность.,Разведке.,Игнорированию угроз.,Раскрыть 2 Искажения.,Видимый Узор: Искажения предсказуемы.,Раскрытие выгодно.
LAW-013,Закон Сна и Образа,Тонкий,Вход в сон/образ.,Движение через сон бесплатно; выход требует Ясность.,Тонким ролям.,Игрокам без Ясности.,Проснуться через Зал Практик.,Осознанный Сон: безопасный выход.,Сказочный слой.
LAW-014,Закон Желания,Тонкий,Сильный эффект без миссии.,"Сильный эффект дешевле, но даёт Желание; 2 Желания = Искажение.",Риску.,Этике.,Очистить в Доме Этики.,Направленное Желание: жетон становится Импульсом.,Анти-жадность.
LAW-015,Закон Нити Связи,Тонкий,Помощь на расстоянии.,Дальняя помощь за 1 Связь; провал повреждает связь/Форму.,Команде.,Одиночному бегу.,Разорвать или восстановить нить.,Верная Нить: безопасная помощь раз за раунд.,Сиаматика.
LAW-016,Закон Зеркального Раскрытия,Тонкий,Зеркало/видение.,Раскрыть правду и ложь: выбрать 1 из 2 событий; второе остаётся угрозой.,Провидцу.,Игрокам без риска.,Разбить зеркало или принять угрозу.,Чистое Зеркало: второй вариант в сброс.,Драматический выбор.
LAW-017,Закон Имени,Метагалактический,Открыт Дом Имён.,"Зона получает функцию: вход, защита, раскрытие или восстановление; менять нельзя без цены.",Арканисту.,Частой смене плана.,Стереть Имя за 2 Памяти.,Верное Имя: функция постоянна.,Имя как механика.
LAW-018,Закон Полномочия,Метагалактический,Допуск выше уровня.,Действие выше уровня требует Полномочие; без него даёт долг.,Аттестации.,Скачкам уровней.,Пройти аттестацию.,Подтверждённый Допуск: полномочие закрепляется.,Фильтр силы.
LAW-019,Закон Арканового Поворота,Метагалактический,Аркан совпал с клеткой.,Активная роль выбирает дар или испытание; игнор стоит 1 Память.,Арканисту.,Избеганию цены.,Прожить испытание.,Принятый Аркан: дар без отката.,Связь с 22 Арканами.
