ID,Source,Category,Mechanism
PHM-001,"Project Hail Mary","Discovery","Epistemic alignment"
PHM-002,"Project Hail Mary","Discovery","Experiment ladder"
PHM-003,"Project Hail Mary","Escalation","Scale expansion through answers"
PHM-004,"Project Hail Mary","Character","Competence demonstrated in work"
PHM-005,"Project Hail Mary","Relationship","Collaboration builds intimacy"
PHM-006,"Project Hail Mary","Worldbuilding","Rules as measurable constraints"
PHM-007,"Project Hail Mary","Institution","Authority embodied by decisions"
PHM-008,"Project Hail Mary","Pacing","Problem-solution pulse"
PHM-009,"Project Hail Mary","Revelation","Tool/object as evidence"
PHM-010,"Project Hail Mary","Plot","Finite resource trade-off"
PHM-011,"Project Hail Mary","Revelation","Discovery changes mission"
PHM-012,"Project Hail Mary","Dialogue","Expert disagreement as exposition"
PHM-013,"Project Hail Mary","Payoff","Failed attempts become assets"
PHM-014,"Project Hail Mary","Grounding","Impossible + mundane detail"
PHM-015,"Project Hail Mary","Ethics","Mission success versus collaborator duty"
DM-001,"Dark Matter","Character","Ordinary dissatisfaction as portal"
DM-002,"Dark Matter","Inciting","Identity displacement"
DM-003,"Dark Matter","Worldbuilding","Near-match reality test"
DM-004,"Dark Matter","Theme","Alternate self as antagonist"
DM-005,"Dark Matter","Emotion","Relationship as ontological metric"
DM-006,"Dark Matter","Ethics","Equal-origin rights conflict"
DM-007,"Dark Matter","Setting","Abstract mechanism given architecture"
DM-008,"Dark Matter","Escalation","Variants increase danger"
DM-009,"Dark Matter","Revelation","Experience before explanation"
DM-010,"Dark Matter","Relationship","Partial disclosure under pressure"
DM-011,"Dark Matter","Mechanism","Desire influences destination"
DM-012,"Dark Matter","Theme","Choices become literal worlds"
DM-013,"Dark Matter","Reframe","Self is more than one choice"
DM-014,"Dark Matter","Resolution","Transfer final agency"
DM-015,"Dark Matter","Structure","Ontology serves one human want"
REC-001,"Recursion","Mystery","Symptom before mechanism"
REC-002,"Recursion","Structure","Dual lines converge"
REC-003,"Recursion","Character","Human wound drives invention"
REC-004,"Recursion","Escalation","Benefit-to-catastrophe ladder"
REC-005,"Recursion","Structure","Loop with added state"
REC-006,"Recursion","Relationship","Asymmetric accumulated experience"
REC-007,"Recursion","Antagonist","Coherent utopian argument"
REC-008,"Recursion","Worldbuilding","Knowledge as irreversible hazard"
REC-009,"Recursion","Ethics","Choose under unknowable consequences"
REC-010,"Recursion","Plot","Solution hidden inside forbidden rule"
REC-011,"Recursion","Scale","Social propagation of private anomaly"
REC-012,"Recursion","Emotion","Local loss precedes global threat"
REC-013,"Recursion","Structure","Story state rewrite"
REC-014,"Recursion","Scene","Same scene, different meaning"
REC-015,"Recursion","Climax","Attack origin, not symptom"
TTSS-001,"Шпион, выйди вон!","Opening","Institution through aftermath"
TTSS-002,"Шпион, выйди вон!","Character","Professional history through habits"
TTSS-003,"Шпион, выйди вон!","Worldbuilding","Jargon in use"
TTSS-004,"Шпион, выйди вон!","Structure","Reactivation of discarded expert"
TTSS-005,"Шпион, выйди вон!","Conflict","Institution investigates itself"
TTSS-006,"Шпион, выйди вон!","Structure","Witness story as embedded novella"
TTSS-007,"Шпион, выйди вон!","Institution","Ignored expert warning"
TTSS-008,"Шпион, выйди вон!","Institution","Career incentives distort truth"
TTSS-009,"Шпион, выйди вон!","Mystery","Procedural anomaly as clue"
TTSS-010,"Шпион, выйди вон!","Investigation","Network reconstruction"
TTSS-011,"Шпион, выйди вон!","Evidence","Mundane detail carries operational proof"
TTSS-012,"Шпион, выйди вон!","Ethics","Trust as scarce resource"
TTSS-013,"Шпион, выйди вон!","Theme","Personal and institutional betrayal mirror"
TTSS-014,"Шпион, выйди вон!","Pacing","Accumulation instead of spectacle"
TTSS-015,"Шпион, выйди вон!","Climax","Verification trap"
SF-001,"Storm Front","Opening","Extraordinary profession via ordinary friction"
SF-002,"Storm Front","Series","Case-of-week + mythology drip"
SF-003,"Storm Front","Worldbuilding","Power rule as investigation tool"
SF-004,"Storm Front","Stakes","Power has operational cost"
SF-005,"Storm Front","Plot","Clue immediately changes movement"
SF-006,"Storm Front","Payoff","Mundane tool gets extraordinary payoff"
SF-007,"Storm Front","Genre","Procedural + metaphysical hybrid"
SF-008,"Storm Front","Character","Past contaminates current case"
SF-009,"Storm Front","Worldbuilding","Hidden ecosystem of practitioners"
SF-010,"Storm Front","Voice","POV voice compresses lore"
SF-011,"Storm Front","Character","Competent but vulnerable"
SF-012,"Storm Front","Investigation","Material link connects invisible system"
SF-013,"Storm Front","Escalation","Solution creates exposure"
SF-014,"Storm Front","Climax","Early minor rule solves final major problem"
SF-015,"Storm Front","Ethics","Ability versus lawful use"
DVC-001,"The Da Vinci Code","Hook","Death leaves intentional information"
DVC-002,"The Da Vinci Code","Structure","Clue chain"
DVC-003,"The Da Vinci Code","Plot Device","Information stored in physical object"
DVC-004,"The Da Vinci Code","Character","Complementary expertise pair"
DVC-005,"The Da Vinci Code","Structure","Pursuer and pursued alternation"
DVC-006,"The Da Vinci Code","Exposition","Knowledge inside urgent action"
DVC-007,"The Da Vinci Code","Mystery","Every answer opens larger question"
DVC-008,"The Da Vinci Code","Setting","Location as puzzle surface"
DVC-009,"The Da Vinci Code","Emotion","Personal tie hidden inside public puzzle"
DVC-010,"The Da Vinci Code","Pacing","Knowledge under chase"
DVC-011,"The Da Vinci Code","Suspense","Ally/authority ambiguity"
DVC-012,"The Da Vinci Code","Mechanism","Code medium constrains answer"
DVC-013,"The Da Vinci Code","Backstory","Relevant flashback only"
DVC-014,"The Da Vinci Code","Pacing","Micro-cliffhanger chapters"
DVC-015,"The Da Vinci Code","Risk Control","Separate story-useful lore from factual authority"
RR-001,"Red Rising","Worldbuilding","Hierarchy through body and labor"
RR-002,"Red Rising","Worldbuilding","Injustice precedes explanation"
RR-003,"Red Rising","Character","Private loss catalyzes public mission"
RR-004,"Red Rising","Revelation","Belief shattered by sensory proof"
RR-005,"Red Rising","Worldbuilding","Rank encoded in everyday language/symbols"
RR-006,"Red Rising","Plot","Infiltration requires becoming legible to target class"
RR-007,"Red Rising","Theme","Enemy category contains human variation"
RR-008,"Red Rising","Series","Status competition as story engine"
RR-009,"Red Rising","Leadership","Coercion-to-voluntary allegiance arc"
RR-010,"Red Rising","Strategy","Break local rule to expose meta-rule"
RR-011,"Red Rising","Worldbuilding","Training arena mirrors society"
RR-012,"Red Rising","Relationship","Friend/foe ambiguity under hidden identity"
RR-013,"Red Rising","Symbolism","Ritual/symbol as social technology"
RR-014,"Red Rising","Theme","Mission versus new bonds"
RR-015,"Red Rising","Resolution","Local victory grants entry to higher conflict"
