id,name,category,effect,when_played,why_not_toxic
D01,Хитрость,кража,Забери 1 открытую карту портала у соседа,свой ход вместо действия,Забирает только открытую всем карту не из руки соперника
D02,Обмен,конверсия,Обменяй 2 любые свои Искры на 1 нужного цвета,свой ход как часть действия,Тратит собственный ресурс не трогает соперников
D03,Быстрый шаг,ускорение,Возьми 1 доп Искру любого цвета сверх обычного действия,свой ход,Только усиливает себя
D04,Щедрость феи,конверсия,Обменяй 3 Искры на 1 Синтез,свой ход,Дорогой курс держит карту не сломанной
D05,Второе дыхание,ускорение,Сыграй ещё 1 карту Действия в этот же ход,свой ход первым действием,Комбо ограничено наличием карт на руке
D06,Защита странника,защита,Отмени эффект вытянутой Ловушки себе,сразу после вытягивания Ловушки,Убирает наказание а не создаёт его
D07,Тайная тропа,информация,Посмотри верхнюю карту колоды Порталов не показывая другим,свой ход,Чистая информация без давления на стол
D08,Дружеский обмен,конверсия,Обменяйся 1 Искрой с любым соседом по обоюдному согласию,в любой момент с согласия обоих,Требует согласия обеих сторон
D09,Второй шанс,риск,Перетяни жетон из мешка если вытянул Ловушку,сразу после Ловушки,Смягчает неудачу не усиливает удачу
D10,Щедрый рынок,рынок,Обнови 1 слот открытого ряда Порталов новой картой,свой ход вместо действия,Меняет расклад для всех поровну
D11,Складчина,кооперация,Дай соседу 1 свою Искру безвозмездно,в любой момент,Чисто дружественное действие
D12,Быстрый обмен,конверсия,Обменяй 1 Искру на 1 Искру другого цвета без потерь,свой ход,Убирает невезение без усиления лидера
D13,Отражение,защита,Скопируй эффект последней разыгранной карты Действия соседа,свой ход сразу после чужой карты,Не отбирает у соперника только копирует
D14,Попутный ветер,ускорение,Добавь 1 доп попытку риска в следующем Приключении,держи на руке до использования,Разовый бонус к азарту не к экономике
D15,Тихая находка,ресурс,Возьми 1 Искру того цвета которого у тебя меньше всего,свой ход,Помогает догоняющим по дизайну
D16,Второй взгляд,информация,Посмотри тайную цель случайного соперника не показывая свою,свой ход,Информация не даёт прямого преимущества в очках
D17,Портальный резонанс,рынок,Открой портал по цене на 1 Искру ниже но без права на его постоянный эффект,свой ход вместо покупки,Компромисс скорость против силы
D18,Благословение стихии,ресурс,Преврати любую свою Искру в Искру Синтеза,свой ход,Мощный но одноразовый и требует уже иметь ресурс
