ID,колода,название,мир/орбиталь,тип существа,что предлагает,что требует,риск,как получить помощь,как потерять,связанная колода,тестовая заметка
INH-031,Жители миров,Садовник Райской Дуги,Рай,садовник орбитали,восстановить связь или снять мягкое Искажение,сделать бескорыстную помощь,дар создаёт обязательство благодарности,помочь союзнику без выгоды,использовать Рай как бесплатное лечение,Орбитали; Союзники,райский дар не аптечка
INH-032,Жители миров,Певец тихой радости,Рай,эмоциональный целитель,снять страх или вернуть доверие,отказаться от агрессивного эффекта,задерживает темп боя,принять мирный выбор,сломать перемирие сразу после дара,События; Экополис,мирный путь как стратегия
INH-033,Жители миров,Фейный меняла,Мир фей и лепреконов,трикстер-торговец,обменять ресурс на странный сильный эффект,рассмешить или удивить его картой,эффект может изменить маршрут,выполнить малое условие-сказку,обмануть фею в сделке,Орбитали; Развитие,контролируемая странность
INH-034,Жители миров,Лепрекон узкой тропы,Мир фей и лепреконов,хранитель короткого пути,открыть короткий путь между несоседними клетками,оставить монету или ресурс на старом месте,путь закрывается после одного прохода,заплатить до входа,забирать плату назад,Порталы; Вихри,одноразовый маршрут
INH-035,Жители миров,Адский регистратор долга,Ад + Демонский + Омарный мир,нижний бухгалтер,показать скрытый долг и цену снятия,признать долг публично,может предложить грязную сделку,заплатить долг или выполнить исправление,спрятать долг от команды,Посредники; Законы мира,опасный аудитор
INH-036,Жители миров,Демонический адвокат обхода,Ад + Демонский + Омарный мир,искуситель правил,разрешить обойти запрет один раз,принять долг или ограничение будущего действия,будущая цена может быть выше выгоды,обсудить сделку и записать цену,забыть записать цену,Посредники; Кампания,морально-механический выбор
INH-037,Жители миров,Омарный поглотитель формы,Ад + Демонский + Омарный мир,нижний переработчик,съесть повреждённую Форму и дать ресурс,Форма удаляется навсегда,может усилить нижнюю орбиталь,самостоятельно выбрать жертву Формы,позволить ему съесть Корень,Формы; События,опасная утилизация
INH-038,Жители миров,Учитель малого Луча,Учителя Лучей,наставник качества,дать тренировку: следующая карта получает выбор,пройти испытание без результата сразу,провал даёт Усталость обучения,взять испытание и не требовать бонус,использовать урок для власти,Развитие; Союзники,рост через испытание
INH-039,Жители миров,Иерарх лучевого допуска,Учителя Лучей,выдающий допуск,открыть карту на уровень выше,доказать соответствие функции,при несоответствии карта закрывается,исполнить роль без личной выгоды,подделать допуск,Экополис; Законы мира,согласовать с Аттестацией
INH-040,Жители миров,Сириусский навигатор,Аштар / Сириус,звёздный проводник,переместить орбиталь на предсказанную позицию,дать координаты: 1 Ясность + 1 Память,ошибка приводит к дальнему событию,подготовить карту маршрута,двигать орбиталь вслепую,Порталы; Орбитали,орбитальное планирование
INH-041,Жители миров,Аштарский диспетчер сигнала,Аштар / Сириус,связист цивилизаций,передать сообщение союзнику вне зоны,проверить помеху Тонкого мира,сигнал может привлечь чужую цивилизацию,очистить канал перед передачей,кричать в эфир без фильтра,Союзники; События,информация с риском контакта
INH-042,Жители миров,Ангельский санитар связи,Ангельская цивилизация,ангельский помощник,очистить Искажение связи или защитить союзника,мирное действие вместо атаки,отказ от атаки может оставить угрозу,выбрать восстановление связи,использовать ангела как оружие,Союзники; Экополис,защита связи
INH-043,Жители миров,Вратарь Господа Небесного,Ангельская цивилизация,страж небесного допуска,открыть безопасный верхний коридор,снять один нижний долг,допуск закрывается при лжи,признать нижний долг,соврать о причине долга,Порталы; Посредники,этический фильтр
INH-044,Жители миров,Аркановая Сестра выбора,Архетипы / Арканы,аркановый проводник,превратить событие в выбор из двух путей,принять дар вместе с испытанием,невыбранный путь остаётся следом,назвать чему учит Аркан,взять только награду,События; Законы мира,Аркан = выбор + цена
INH-045,Жители миров,Странник двадцать второго порога,Архетипы / Арканы,пороговый архетип,перезапустить провал как новое начало,сбросить подготовленную карту,команда теряет темп,принять нулевой результат как обучение,требовать результат и перезапуск,Развитие; Кампания,мягкая защита от провала
INH-046,Жители миров,Махатмический корреспондент,Махатмы / 64 Духа / Санат Кумары,письменный наставник,дать подсказку высокого уровня,выполнить малое служение внизу,подсказка без действия становится долгом знания,применить совет в Физическом мире,копить советы без действия,Кампания; Экополис,верхняя мудрость требует действия
INH-047,Жители миров,Санатовый хранитель 64-го круга,Махатмы / 64 Духа / Санат Кумары,хранитель круга,выбрать клетку 64-диска как будущий узел,оплатить Память и Полномочие,"узел активируется позже, не сразу",заранее объявить план,переметить узел без цены,Орбитали; Законы мира,планирование по 64 клеткам
INH-048,Жители миров,Сефирный садовник меры,Элохимы / Сефиры,садовник меры,уравновесить сильный и слабый эффекты,снизить один свой бонус,игроки теряют взрывное комбо,принять меру ради стабильности,настаивать на бесконечном росте,Законы мира; Формы,балансировщик комбо
INH-049,Жители миров,Хранитель Девяноста Девяти Имён,Аллах / 99 Имён,хранитель имён,"дать Имя действию: милость, мера, защита или суд",уважительно выбрать одно качество,неверное Имя закрывает эффект,выбрать качество по ситуации,менять Имя как ярлык бонуса,Законы мира; Орбитали,бережный public naming
INH-050,Жители миров,Посланник Майтреи-Христа,Христос / Майтрея,мировой примиритель,превратить конфликт в совместную миссию,"простить долг, но выполнить восстановление",прощение без действия создаёт повтор долга,"помочь тому, кто навредил команде",использовать милость как отмену цены,Союзники; Кампания,милость не отменяет действия
ALLY-001,Союзники,Молодой картограф Экополиса,Физический мир,человек-союзник,показывает безопасный соседний маршрут,защитить его от события дороги,ошибка карты ведёт к Шраму,провести его через очищенную клетку,оставить одного в опасной зоне,Экополис; Порталы,ранний союзник движения
ALLY-002,Союзники,Бригада ремонта Форм,Физический мир,команда мастеров,чинит малую или устойчивую Форму дешевле,дать Материю и время,ремонт привлекает угрозу,построить Мастерскую или Кузницу,заставить работать без ресурсов,Формы; Экополис,экономия ремонта
ALLY-003,Союзники,Поставщик чистой пищи,Физический мир,логистический союзник,даёт Пищу и снимает Усталость,обеспечить безопасный маршрут поставки,маршрут может быть перехвачен,очистить дорогу или охранить караван,игнорировать Закон Пищи,Законы мира; Экополис,против усталости
ALLY-004,Союзники,Старшая хранительница района,Физический мир,социальный лидер,даёт доверие жителей и доступ к зданию,решить локальный конфликт,ошибка ухудшает репутацию,выбрать мирное решение,обмануть жителей ради выгоды,Экополис; Кампания,социальная цена
ALLY-005,Союзники,Инженер портального каркаса,Физический мир,инженер,стабилизирует физический вход портала,Инструмент и Материя,портал работает медленно,построить Портальную Нишу или Узел,перегрузить каркас,Порталы; Инструменты,портал через предметы
ALLY-006,Союзники,Толкователь снов,Тонкий мир,проводник сна,переводит сон в подсказку события,1 Ясность или честное воспоминание,ложный сон остаётся следом,записать образ в Архив,использовать сон только как короткий путь,События; Посредники,сон = информация
ALLY-007,Союзники,Девочка с зеркальной маской,Тонкий мир,неустойчивый союзник,раскрывает Маску угрозы,снять с неё чужой образ,может скопировать страх игрока,помочь ей назвать себя,заставить её копировать врага,Персонажи; События,эмоциональная карта
ALLY-008,Союзники,Хранительница нити дома,Тонкий мир,связующая сущность,возвращает игрока на безопасную клетку,1 Связь и сохранение Нити,нить может увести не туда,поддержать связь с Экополисом,разорвать Нить ради ресурса,Формы; Порталы,страховка новичков
ALLY-009,Союзники,Ловец тонкого шума,Тонкий мир,разведчик искажений,находит скрытое Искажение,дать ему Внимание или Ясность,шум может оглушить руку карт,проверить зону до входа,войти вслепую после предупреждения,События; Законы мира,против скрытых угроз
ALLY-010,Союзники,Певчий примирения,Тонкий мир,эмоциональный союзник,снимает конфликт между ролями,оба игрока отказываются от бонуса,снижает темп партии,принять меньший эффект вместе,выбрать личный максимум,Кооперация; Экополис,анти-конфликт
