key,type,name,drive_id,status
MASTER_DRIVE_ROOT,folder,WICKLOW_SHILLELAGH_MASTER_PROJECT,1qcpyix-tTCk57cEkPtWgX61PnX1LJgxj,MASTER
SHILLELAGH_IMAGES,folder,07_IMAGE_OUTPUTS,1lh6725Bax555GG3l3KdIVLrJt_S3afNR,BINARY_AUTHORITY
CLUAIN_ENGINE,folder,12_CYCLE8_CLUAIN_CAPABILITY_TECHNICAL,1uA1uhnVtyrTvzZKwaOJGyS6h2DjIP6xM,HOLD_EVIDENCE_RECOVERY
INIS_ENGINE,folder,13_INIS_CEALTRA_2026_SUBMISSION_ENGINE,1visBCrRGgUl6_anz6YaLe9TTI67Z3frn,ACTIVE_CASE
INIS_DELIVERABLES,folder,DELIVERABLES,1yZi4pIBJPW-SODGUmsamUDYxlr3jRTIj,CANONICAL
INIS_PROPOSAL,pdf,Yaromyr_Farada_Inis_Cealtra_2026_Proposal_v2.pdf,1dIgNe_ktIdXf2cbwpks2xfFwhPBNCbNJ,CANONICAL
INIS_CV,pdf,Yaromyr_Farada_Inis_Cealtra_Artist_CV.pdf,122DWkHFfS0rmELoVLwVZrvLjZAHXjuGU,CANONICAL
INIS_PREVIOUS_WORKS,pdf,Yaromyr_Farada_Inis_Cealtra_Previous_Works_6_Images.pdf,1aD1sGq17CE-lr_XyfZhz7W44g1UzCcP6,CANONICAL
INIS_COMBINED,pdf,Yaromyr_Farada_Inis_Cealtra_2026_COMBINED_READBACK_PACK_v2.pdf,1QbqXrLyi-z4WV6KWyd5siGD9FPUOdg4n,READBACK_AUTHORITY
INIS_HERO,png,INIS_CEALTRA_THE_LAKE_HOLDS_THE_LIGHT_CLEAN.png,1FwjlCCBFedoE2cNZgE9y950wtd3FFN5f,INDICATIVE_ONLY
INIS_DASHBOARD,png,INIS_CEALTRA_2026_MASTER_DASHBOARD_v3.png,1aWkyN8DeVP4SGMFB2KAa7efa5lu4ar5v,VISUAL_SUMMARY_ONLY
