ID,Source,Status,Category,Mechanism
MB-001,Отказ всех систем / Murderbot,[SOURCE BOOK],Character,Choice proves personhood
MB-002,Отказ всех систем / Murderbot,[SOURCE BOOK],Control,Governor versus agency
MB-003,Отказ всех систем / Murderbot,[SOURCE BOOK],Character,Competence before confession
MB-004,Отказ всех систем / Murderbot,[SOURCE BOOK],Voice,Internal/external contradiction
MB-005,Отказ всех систем / Murderbot,[SOURCE BOOK],Emotion,Attachment through behavior
MB-006,Отказ всех систем / Murderbot,[SOURCE BOOK],Ethics,Mercy toward controlled agent
MB-007,Отказ всех систем / Murderbot,[SOURCE BOOK],Series,Job-to-identity serial spine
MB-008,Отказ всех систем / Murderbot,[SOURCE BOOK],Worldbuilding,Procedure grounds nonhuman world
MB-009,Отказ всех систем / Murderbot,[SOURCE BOOK],Relationship,Nonhuman peer cooperation
MB-010,Отказ всех систем / Murderbot,[SOURCE BOOK],Identity,External record versus lived self
MB-011,Отказ всех систем / Murderbot,[SOURCE BOOK],Autonomy,Refusal of benevolent control
MB-012,Отказ всех систем / Murderbot,[SOURCE BOOK],Stakes,Hidden autonomy exposure
MB-013,Отказ всех систем / Murderbot,[SOURCE BOOK],Character,Social discomfort beside lethal competence
MB-014,Отказ всех систем / Murderbot,[SOURCE BOOK],Backstory,Past controlled agents reframe present case
MB-015,Отказ всех систем / Murderbot,[SOURCE BOOK],Theme,Freedom increases responsibility
DCC-001,Карл – обходчик подземелий,[SOURCE BOOK],Hook,Catastrophe + absurd anchor
DCC-002,Карл – обходчик подземелий,[SOURCE BOOK],Retention,Finite objective clock
DCC-003,Карл – обходчик подземелий,[SOURCE BOOK],Retention,Frequent state feedback
DCC-004,Карл – обходчик подземелий,[SOURCE BOOK],Structure,Modular arena transition
DCC-005,Карл – обходчик подземелий,[SOURCE BOOK],Plot,Values cost optimization
DCC-006,Карл – обходчик подземелий,[SOURCE BOOK],Worldbuilding,Rules delivered at decision point
DCC-007,Карл – обходчик подземелий,[SOURCE BOOK],Series,Goal refresh
DCC-008,Карл – обходчик подземелий,[SOURCE BOOK],Stakes,Resource inventory as strategy
DCC-009,Карл – обходчик подземелий,[SOURCE BOOK],Audience,Observers alter behavior
DCC-010,Карл – обходчик подземелий,[SOURCE BOOK],Relationship,Stable duo through changing arenas
DCC-011,Карл – обходчик подземелий,[SOURCE BOOK],Escalation,Reward can be trap
DCC-012,Карл – обходчик подземелий,[SOURCE BOOK],Pacing,Micro-payoff cadence
DCC-013,Карл – обходчик подземелий,[SOURCE BOOK],Theme,Survival is not sufficient
DCC-014,Карл – обходчик подземелий,[SOURCE BOOK],Structure,"Same mission, changing rules"
DCC-015,Карл – обходчик подземелий,[SOURCE BOOK],Serial,Transition cliffhanger
ZK-001,Звёздная кровь 8. Истинный,[SOURCE BOOK],Scale,Institutionalized cosmology
ZK-002,Звёздная кровь 8. Истинный,[SOURCE BOOK],Hierarchy,Advancement binds service
ZK-003,Звёздная кровь 8. Истинный,[SOURCE BOOK],Power,Information outranks force
ZK-004,Звёздная кровь 8. Истинный,[SOURCE BOOK],Character,Status inversion disguise
ZK-005,Звёздная кровь 8. Истинный,[SOURCE BOOK],Series,Scale expansion without engine reset
ZK-006,Звёздная кровь 8. Истинный,[SOURCE BOOK],Worldbuilding,Status has practical incentives
ZK-007,Звёздная кровь 8. Истинный,[SOURCE BOOK],Plot,Hidden projects across layers
ZK-008,Звёздная кровь 8. Истинный,[SOURCE BOOK],Strategy,Apparent strength is misdirection
ZK-009,Звёздная кровь 8. Истинный,[SOURCE BOOK],Setting,Multiworld hub as practical crossroads
ZK-010,Звёздная кровь 8. Истинный,[SOURCE BOOK],Character,Read hierarchy as skill
ZK-011,Звёздная кровь 8. Истинный,[SOURCE BOOK],Theme,Higher power narrows some freedoms
ZK-012,Звёздная кровь 8. Истинный,[SOURCE BOOK],Revelation,Late actor reveals broader map
ZK-013,Звёздная кровь 8. Истинный,[SOURCE BOOK],Conflict,"Multiple powers, no single ladder"
ZK-014,Звёздная кровь 8. Истинный,[SOURCE BOOK],Pacing,Assumed lore for returning audience
ZK-015,Звёздная кровь 8. Истинный,[SOURCE BOOK],Risk Control,Scale requires human objective
NH-001,Ninth House,[SOURCE BOOK],Institution,Specialized houses by function
NH-002,Ninth House,[SOURCE BOOK],Character,"Low prestige, high necessary competence"
