ID,колода,название,когда тянется,эффект,варианты решения,цена успеха,последствие провала,роль с преимуществом,связанная колода,тестовая заметка
EVR-001,События раунда,Вихрь: Прокол,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Странник Кругов,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-002,События раунда,Вихрь: Форсаж,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Архитектор Форм,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-003,События раунда,Вихрь: Разложение,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Провидец Орбиталей,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-004,События раунда,Вихрь: Магнит,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Алхимик Событий,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-005,События раунда,Вихрь: Стабилизация,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Страж Порога,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-006,События раунда,Вихрь: Отражение,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Носитель Луча,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-007,События раунда,Вихрь: Низведение,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Звёздный Навигатор,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-008,События раунда,Вихрь: Извержение,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Ангельский Посланник,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-009,События раунда,Вихрь: Уплотнение,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Арканист,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-010,События раунда,Вихрь: Раскрытие,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Синтезатор,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-011,События раунда,Вихрь: Переплавка,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Огненный Проводник,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-012,События раунда,Вихрь: Синхронизация,"Начало раунда, после сдвига орбиталей","Состояние Вихря меняет правило раунда: движение, портал или действие в активной дуге получает бонус, но создаёт риск отката.","стабилизировать; использовать с риском; изменить маршрут; закрыть Вихрь",1 Ясность или 1 Полномочие,Вихрь оставляет нестабильный портал или сдвигает орбиталь непредсказуемо.,Миротворец Связей,Порталы / Вихрь / Законы мира,"Событие должно двигать темп, но не давать бесплатный портал."
EVR-013,События раунда,Разлом: Волна по Физическому диску,"Начало раунда, если Разлом ≥ 2","Разлом усиливает давление: одна зона, маршрут или Форма получает повреждение; игроки выбирают, чинить сейчас или принять Шрам.","закрыть Разлом; принять Шрам; перенести удар; открыть опасный портал",1 Огонь + 1 Материя,Разлом растёт на 1 и оставляет Шрам зоны.,Страж Порога,Разлом / Формы / Экополис,"Разлом должен создавать выбор, а не автоматическое наказание."
EVR-014,События раунда,Разлом: Шум в Тонком мире,"Начало раунда, если Разлом ≥ 2","Разлом усиливает давление: одна зона, маршрут или Форма получает повреждение; игроки выбирают, чинить сейчас или принять Шрам.","закрыть Разлом; принять Шрам; перенести удар; открыть опасный портал",1 Огонь + 1 Материя,Разлом растёт на 1 и оставляет Шрам зоны.,Провидец Орбиталей,Разлом / Формы / Экополис,"Разлом должен создавать выбор, а не автоматическое наказание."
EVR-015,События раунда,Разлом: Сбой Полномочия,"Начало раунда, если Разлом ≥ 2","Разлом усиливает давление: одна зона, маршрут или Форма получает повреждение; игроки выбирают, чинить сейчас или принять Шрам.","закрыть Разлом; принять Шрам; перенести удар; открыть опасный портал",1 Огонь + 1 Материя,Разлом растёт на 1 и оставляет Шрам зоны.,Арканист,Разлом / Формы / Экополис,"Разлом должен создавать выбор, а не автоматическое наказание."
EVR-016,События раунда,Разлом: Пепельная дуга,"Начало раунда, если Разлом ≥ 2","Разлом усиливает давление: одна зона, маршрут или Форма получает повреждение; игроки выбирают, чинить сейчас или принять Шрам.","закрыть Разлом; принять Шрам; перенести удар; открыть опасный портал",1 Огонь + 1 Материя,Разлом растёт на 1 и оставляет Шрам зоны.,Алхимик Событий,Разлом / Формы / Экополис,"Разлом должен создавать выбор, а не автоматическое наказание."
EVR-017,События раунда,Разлом: Обратный столп,"Начало раунда, если Разлом ≥ 2","Разлом усиливает давление: одна зона, маршрут или Форма получает повреждение; игроки выбирают, чинить сейчас или принять Шрам.","закрыть Разлом; принять Шрам; перенести удар; открыть опасный портал",1 Огонь + 1 Материя,Разлом растёт на 1 и оставляет Шрам зоны.,Синтезатор,Разлом / Формы / Экополис,"Разлом должен создавать выбор, а не автоматическое наказание."
EVR-018,События раунда,Разлом: Нижний долг выходит наружу,"Начало раунда, если Разлом ≥ 2","Разлом усиливает давление: одна зона, маршрут или Форма получает повреждение; игроки выбирают, чинить сейчас или принять Шрам.","закрыть Разлом; принять Шрам; перенести удар; открыть опасный портал",1 Огонь + 1 Материя,Разлом растёт на 1 и оставляет Шрам зоны.,Миротворец Связей,Разлом / Формы / Экополис,"Разлом должен создавать выбор, а не автоматическое наказание."
EVR-019,События раунда,Зона открылась: Дом / территория,"Когда игрок впервые входит в закрытую дугу или конъюнкция раскрывает сектор","Новая зона становится доступной. Она даёт ресурс или короткий путь, но сразу получает закон, жителя, Искажение или долг.","исследовать; закрепить Формой; оставить скрытой; войти через портал",1 Импульс или 1 Ясность,Зона открывается с Искажением или дорогой назад не существует.,Странник Кругов,Карта мира / Формы / Орбитали,"Открытие зоны должно быть наградой и новой проблемой одновременно."
EVR-020,События раунда,Зона открылась: Сонная улица,"Когда игрок впервые входит в закрытую дугу или конъюнкция раскрывает сектор","Новая зона становится доступной. Она даёт ресурс или короткий путь, но сразу получает закон, жителя, Искажение или долг.","исследовать; закрепить Формой; оставить скрытой; войти через портал",1 Импульс или 1 Ясность,Зона открывается с Искажением или дорогой назад не существует.,Провидец Орбиталей,Карта мира / Формы / Орбитали,"Открытие зоны должно быть наградой и новой проблемой одновременно."
EVR-021,События раунда,Зона открылась: Аркановый узел,"Когда игрок впервые входит в закрытую дугу или конъюнкция раскрывает сектор","Новая зона становится доступной. Она даёт ресурс или короткий путь, но сразу получает закон, жителя, Искажение или долг.","исследовать; закрепить Формой; оставить скрытой; войти через портал",1 Импульс или 1 Ясность,Зона открывается с Искажением или дорогой назад не существует.,Арканист,Карта мира / Формы / Орбитали,"Открытие зоны должно быть наградой и новой проблемой одновременно."
EVR-022,События раунда,Зона открылась: Печь переплавки,"Когда игрок впервые входит в закрытую дугу или конъюнкция раскрывает сектор","Новая зона становится доступной. Она даёт ресурс или короткий путь, но сразу получает закон, жителя, Искажение или долг.","исследовать; закрепить Формой; оставить скрытой; войти через портал",1 Импульс или 1 Ясность,Зона открывается с Искажением или дорогой назад не существует.,Огненный Проводник,Карта мира / Формы / Орбитали,"Открытие зоны должно быть наградой и новой проблемой одновременно."
EVR-023,События раунда,Зона открылась: Синтезная вершина,"Когда игрок впервые входит в закрытую дугу или конъюнкция раскрывает сектор","Новая зона становится доступной. Она даёт ресурс или короткий путь, но сразу получает закон, жителя, Искажение или долг.","исследовать; закрепить Формой; оставить скрытой; войти через портал",1 Импульс или 1 Ясность,Зона открывается с Искажением или дорогой назад не существует.,Синтезатор,Карта мира / Формы / Орбитали,"Открытие зоны должно быть наградой и новой проблемой одновременно."
EVR-024,События раунда,Зона открылась: Фейный перекат,"Когда игрок впервые входит в закрытую дугу или конъюнкция раскрывает сектор","Новая зона становится доступной. Она даёт ресурс или короткий путь, но сразу получает закон, жителя, Искажение или долг.","исследовать; закрепить Формой; оставить скрытой; войти через портал",1 Импульс или 1 Ясность,Зона открывается с Искажением или дорогой назад не существует.,Звёздный Навигатор,Карта мира / Формы / Орбитали,"Открытие зоны должно быть наградой и новой проблемой одновременно."
EVR-025,События раунда,Ресурс истощается: Материя,"Фаза экономики, если один ресурс был взят 2+ раза","Один тип ресурса становится дефицитным. Игроки могут перераспределить экономику, найти замену или принять рост цены.","сэкономить; обменять; искать новый источник; перегрузить Экополис",1 Связь или 1 Закон,Следующая карта этого ресурса стоит +1 или уходит из рынка.,Синтезатор,Ресурсы / Экополис / Deckbuilding,"Дефицит должен менять стратегию, а не просто замедлять игру."
EVR-026,События раунда,Ресурс истощается: Пища,"Фаза экономики, если один ресурс был взят 2+ раза","Один тип ресурса становится дефицитным. Игроки могут перераспределить экономику, найти замену или принять рост цены.","сэкономить; обменять; искать новый источник; перегрузить Экополис",1 Связь или 1 Закон,Следующая карта этого ресурса стоит +1 или уходит из рынка.,Миротворец Связей,Ресурсы / Экополис / Deckbuilding,"Дефицит должен менять стратегию, а не просто замедлять игру."
EVR-027,События раунда,Ресурс истощается: Ясность,"Фаза экономики, если один ресурс был взят 2+ раза","Один тип ресурса становится дефицитным. Игроки могут перераспределить экономику, найти замену или принять рост цены.","сэкономить; обменять; искать новый источник; перегрузить Экополис",1 Связь или 1 Закон,Следующая карта этого ресурса стоит +1 или уходит из рынка.,Провидец Орбиталей,Ресурсы / Экополис / Deckbuilding,"Дефицит должен менять стратегию, а не просто замедлять игру."
