Mechanism ID,Problem / Gap,Change in IVDIVO,Why it helps,Canon Boundary,Story Opportunity
MB-002,Smith's control/conditioning can be confused with competence/status.,"Map control layer separately: what compels action, what grants capability, what grants lawful right.",Creates clean model: control ≠ competence ≠ status ≠ office.,[IVDIVO CANON] preserve existing status/competence/powers distinctions.,Smith recovery arc.
MB-011,A benevolent Enya/review board could become another controller.,Require Smith's explicit choice in any restoration/protection plan.,Help without consent can still repeat Matrix logic.,[OUR SYNTHESIS] must fit Enya's law/limits.,Restoration hearing.
MB-006,Controlled carriers/agents risk being treated as perpetrators.,Add diagnostic question: did the actor have meaningful choice?,Changes punishment into release/review when coercion is proven.,[IVDIVO CANON] do not erase responsibility when choice existed.,Case about false culprit.
MB-005,Smith/Enya bond risks becoming declared mystical affinity.,Make attachment legible through repeated voluntary protective acts.,Behavior carries emotion; explanations remain sparse.,Do not force romance.,Long character arc.
DCC-002,Long audio needs hard near-term stakes.,"Give each episode one finite window: access, hearing, transition, carrier stability.",Listener always knows what must happen next and by when.,Do not turn IVDIVO into game UI.,Retention layer.
DCC-003,Lore revelations can feel like no progress.,"After every major scene, change a state: access/evidence/ally/risk/status.",Build a visible 'state delta' column in scene plans.,[OUR SYNTHESIS] production rule.,Scene QA.
DCC-004,Multiple worlds/offices can feel like endless geography.,Treat each jurisdiction as a bounded arena with one distinct rule problem.,Transition only after local plot closes enough.,Preserve eight-world ontology.,Переходы series.
DCC-005,Heroic choices need measurable price.,Helping a carrier/witness must cost time/access/safety.,"Moral choice becomes plot, not speech.",Cost must be canon-grounded.,Smith episode.
ZK-006,Formal IVDIVO ranks are hard for newcomers.,"For each rank, define practical access, duty, prohibition, review path.",Build 'what changes in scene' before formal definition.,[IVDIVO CANON] terminology unchanged.,Hierarchy bible.
ZK-003,High power can flatten investigation.,"Make decisive actor the one with information/jurisdiction, not raw energy.",Keeps Teachers/Lords/Avatars from becoming combat power scale.,[OUR SYNTHESIS] consistent with office/status distinction.,Institution thriller.
ZK-011,Advancement often reads as pure reward.,Every higher status adds an obligation or narrower lawful option.,Higher rank can increase responsibility.,[IVDIVO CANON] verify exact obligations per rank.,Initiation stories.
NH-001,Many IVDIVO offices/beings risk catalogue feel.,Give each office one functional case failure mode.,Audience learns office because that office is needed in a case.,[IVDIVO CANON] do not merge distinct offices.,Multi-protagonist franchise.
NH-003,Who audits Matrix/lower offices?,Design an oversight layer that is real but dependent on lower records/access.,Audit itself can be compromised without making all hierarchy fake.,[OUR SYNTHESIS] map to exact canon after source search.,Review arc.
NH-012,"Capability, status and authority need dramatization.",Make outsider able to see/solve what authorized official cannot; official still controls access.,Conflict physically demonstrates coordinate distinction.,Directly supports existing ontology.,Court/investigation story.
